B320;CA' D'ANDREA CR
M311;CAMPOLONGO TAPOGLIANO UD
B549;CAMPOMAGGIORE PZ
B550;CAMPOMARINO CB
B551;CAMPOMORONE GE
B554;CAMPONOGARA VE
B555;CAMPORA SA
B556;CAMPOREALE PA
B557;CAMPORGIANO LU
B559;CAMPOROSSO IM
B562;CAMPOROTONDO DI FIASTRONE MC
B561;CAMPOROTONDO ETNEO CT
B563;CAMPOSAMPIERO PD
B565;CAMPOSANO NA
B566;CAMPOSANTO MO
B567;CAMPOSPINOSO PV
B569;CAMPOTOSTO AQ
B572;CAMUGNANO BO
B577;CANAL SAN BOVO TN
B573;CANALE CN
B574;CANALE D'AGORDO BL
B576;CANALE MONTERANO RM
B578;CANARO RO
B579;CANAZEI TN
B647;CAPANNOLI PI
B648;CAPANNORI LU
B649;CAPENA RM
B650;CAPERGNANICA CR
B584;CANDELA FG
B586;CANDELO BI
B588;CANDIA CANAVESE TO
B587;CANDIA LOMELLINA PV
B589;CANDIANA PD
B590;CANDIDA AV
B591;CANDIDONI RC
B592;CANDIOLO TO
B593;CANEGRATE MI
B594;CANELLI AT
B597;CANEPINA VT
B598;CANEVA PN
B599;CANEVINO PV
B602;CANICATTI' AG
B603;CANICATTINI BAGNI SR
B604;CANINO VT
B605;CANISCHIO TO
B606;CANISTRO AQ
B607;CANNA CS
B608;CANNALONGA SA
B609;CANNARA PG
B610;CANNERO RIVIERA VB
B613;CANNETO PAVESE PV
B612;CANNETO SULL'OGLIO MN
B615;CANNOBIO VB
B616;CANNOLE LE
B617;CANOLO RC
B618;CANONICA D'ADDA BG
B619;CANOSA DI PUGLIA BA
B620;CANOSA SANNITA CH
B621;CANOSIO CN
C669;CANOSSA RE
B624;CANSANO AQ
B626;CANTAGALLO PO
B627;CANTALICE RI
B628;CANTALUPA TO
B631;CANTALUPO IN SABINA RI
B629;CANTALUPO LIGURE AL
B630;CANTALUPO NEL SANNIO IS
B633;CANTARANA AT
B634;CANTELLO VA
B635;CANTERANO RM
B636;CANTIANO PU
B637;CANTOIRA TO
B639;CANTU' CO
B640;CANZANO TE
B641;CANZO CO
B642;CAORLE VE
B643;CAORSO PC
B644;CAPACCIO SA
B645;CAPACI PA
B646;CAPALBIO GR
B717;CARAFFA DI CATANZARO CZ
B719;CARAGLIO CN
B720;CARAMAGNA PIEMONTE CN
B722;CARAMANICO TERME PE
B651;CAPESTRANO AQ
B653;CAPIAGO INTIMIANO CO
B655;CAPISTRANO VV
B656;CAPISTRELLO AQ
B658;CAPITIGNANO AQ
B660;CAPIZZI ME
B661;CAPIZZONE BG
B664;CAPO DI PONTE BS
B666;CAPO D'ORLANDO ME
B663;CAPODIMONTE VT
B667;CAPODRISE CE
B669;CAPOLIVERI LI
B670;CAPOLONA AR
B671;CAPONAGO MI
B672;CAPORCIANO AQ
B674;CAPOSELE AV
B675;CAPOTERRA CA
B676;CAPOVALLE BS
B677;CAPPADOCIA AQ
B679;CAPPELLA CANTONE CR
B680;CAPPELLA DE' PICENARDI CR
B678;CAPPELLA MAGGIORE TV
B681;CAPPELLE SUL TAVO PE
B682;CAPRACOTTA IS
B684;CAPRAIA E LIMITE FI
B685;CAPRAIA ISOLA LI
B686;CAPRALBA CR
B688;CAPRANICA VT
B687;CAPRANICA PRENESTINA RM
B690;CAPRARICA DI LECCE LE
B691;CAPRAROLA VT
B692;CAPRAUNA CN
B693;CAPRESE MICHELANGELO AR
B694;CAPREZZO VB
B696;CAPRI NA
B695;CAPRI LEONE ME
B697;CAPRIANA TN
B698;CAPRIANO DEL COLLE BS
B701;CAPRIATA D'ORBA AL
B703;CAPRIATE SAN GERVASIO BG
B704;CAPRIATI A VOLTURNO CE
B705;CAPRIE TO
B706;CAPRIGLIA IRPINA AV
B707;CAPRIGLIO AT
B708;CAPRILE BI
B710;CAPRINO BERGAMASCO BG
B709;CAPRINO VERONESE VR
B711;CAPRIOLO BS
B712;CAPRIVA DEL FRIULI GO
B715;CAPUA CE
B716;CAPURSO BA
B718;CARAFFA DEL BIANCO RC
B789;CARLOFORTE CA
B790;CARLOPOLI CZ
B791;CARMAGNOLA TO
B792;CARMIANO LE
B723;CARANO TN
B724;CARAPELLE FG
B725;CARAPELLE CALVISIO AQ
B726;CARASCO GE
B727;CARASSAI AP
B729;CARATE BRIANZA MI
B730;CARATE URIO CO
B731;CARAVAGGIO BG
B732;CARAVATE VA
B733;CARAVINO TO
B734;CARAVONICA IM
B735;CARBOGNANO VT
B741;CARBONARA AL TICINO PV
B740;CARBONARA DI NOLA NA
B739;CARBONARA DI PO MN
B736;CARBONARA SCRIVIA AL
B742;CARBONATE CO
B743;CARBONE PZ
B744;CARBONERA TV
B745;CARBONIA CA
B748;CARCARE SV
B749;CARCERI PD
B752;CARCOFORO VC
B754;CARDANO AL CAMPO VA
B755;CARDE' CN
M285;CARDEDU NU
B756;CARDETO RC
B758;CARDINALE CZ
B759;CARDITO NA
B760;CAREGGINE LU
B762;CAREMA TO
B763;CARENNO LC
B765;CARENTINO AL
B766;CARERI RC
B767;CARESANA VC
B768;CARESANABLOT VC
B769;CAREZZANO AL
B771;CARFIZZI KR
B772;CARGEGHE SS
B774;CARIATI CS
B776;CARIFE AV
B777;CARIGNANO TO
B778;CARIMATE CO
B779;CARINARO CE
B780;CARINI PA
B781;CARINOLA CE
B782;CARISIO VC
B783;CARISOLO TN
B784;CARLANTINO FG
B785;CARLAZZO CO
B787;CARLENTINI SR
B788;CARLINO UD
B872;CASAL DI PRINCIPE CE
B895;CASAL VELINO SA
B861;CASALANGUIDA CH
B862;CASALATTICO FR
B794;CARMIGNANO PO
B795;CARMIGNANO DI BRENTA PD
B796;CARNAGO VA
B798;CARNATE MI
B801;CAROBBIO DEGLI ANGELI BG
B802;CAROLEI CS
B803;CARONA BG
B804;CARONIA ME
B805;CARONNO PERTUSELLA VA
B807;CARONNO VARESINO VA
B808;CAROSINO TA
B809;CAROVIGNO BR
B810;CAROVILLI IS
B812;CARPANETO PIACENTINO PC
B813;CARPANZANO CS
B814;CARPASIO IM
B816;CARPEGNA PU
B817;CARPENEDOLO BS
B818;CARPENETO AL
B819;CARPI MO
B820;CARPIANO MI
B822;CARPIGNANO SALENTINO LE
B823;CARPIGNANO SESIA NO
B825;CARPINETI RE
B827;CARPINETO DELLA NORA PE
B828;CARPINETO ROMANO RM
B826;CARPINETO SINELLO CH
B829;CARPINO FG
B830;CARPINONE IS
B832;CARRARA MS
B835;CARRE' VI
B836;CARREGA LIGURE AL
B838;CARRO SP
B839;CARRODANO SP
B840;CARROSIO AL
B841;CARRU' CN
B842;CARSOLI AQ
B844;CARTIGLIANO VI
B845;CARTIGNANO CN
B846;CARTOCETO PU
B847;CARTOSIO AL
B848;CARTURA PD
B850;CARUGATE MI
B851;CARUGO CO
B853;CARUNCHIO CH
B854;CARVICO BG
B856;CARZANO TN
B857;CASABONA KR
B858;CASACALENDA CB
B859;CASACANDITELLA CH
B860;CASAGIOVE CE
B870;CASAL CERMELLI AL
B929;CASANOVA LONATI PV
B932;CASAPE RM
M260;CASAPESENNA CE
B933;CASAPINTA BI
B864;CASALBELTRAME NO
B865;CASALBORDINO CH
B866;CASALBORE AV
B867;CASALBORGONE TO
B868;CASALBUONO SA
B869;CASALBUTTANO ED UNITI CR
B871;CASALCIPRANO CB
B873;CASALDUNI BN
B876;CASALE CORTE CERRO VB
B881;CASALE CREMASCO-VIDOLASCO CR
B877;CASALE DI SCODOSIA PD
B875;CASALE LITTA VA
B878;CASALE MARITTIMO PI
B885;CASALE MONFERRATO AL
B879;CASALE SUL SILE TV
B880;CASALECCHIO DI RENO BO
B882;CASALEGGIO BOIRO AL
B883;CASALEGGIO NOVARA NO
B886;CASALEONE VR
B889;CASALETTO CEREDANO CR
B890;CASALETTO DI SOPRA CR
B887;CASALETTO LODIGIANO LO
B888;CASALETTO SPARTANO SA
B891;CASALETTO VAPRIO CR
B892;CASALFIUMANESE BO
B893;CASALGRANDE RE
B894;CASALGRASSO CN
B896;CASALINCONTRADA CH
B897;CASALINO NO
B898;CASALMAGGIORE CR
B899;CASALMAIOCCO LO
B900;CASALMORANO CR
B901;CASALMORO MN
B902;CASALNOCETO AL
B905;CASALNUOVO DI NAPOLI NA
B904;CASALNUOVO MONTEROTARO FG
B907;CASALOLDO MN
B910;CASALPUSTERLENGO LO
B911;CASALROMANO MN
B912;CASALSERUGO PD
B916;CASALUCE CE
B917;CASALVECCHIO DI PUGLIA FG
B918;CASALVECCHIO SICULO ME
B919;CASALVIERI FR
B920;CASALVOLONE NO
B921;CASALZUIGNO VA
B922;CASAMARCIANO NA
B923;CASAMASSIMA BA
B924;CASAMICCIOLA TERME NA
B925;CASANDRINO NA
B928;CASANOVA ELVO VC
B927;CASANOVA LERRONE SV
C004;CASSANO MAGNAGO VA
C005;CASSANO SPINOLA AL
B999;CASSANO VALCUVIA VA
C006;CASSARO SR
B934;CASAPROTA RI
B935;CASAPULLA CE
B936;CASARANO LE
B937;CASARGO LC
B938;CASARILE MI
B940;CASARSA DELLA DELIZIA PN
B939;CASARZA LIGURE GE
B941;CASASCO AL
B942;CASASCO D'INTELVI CO
B943;CASATENOVO LC
B945;CASATISMA PV
B946;CASAVATORE NA
B947;CASAZZA BG
B948;CASCIA PG
B949;CASCIAGO VA
A559;CASCIANA TERME PI
B950;CASCINA PI
B953;CASCINETTE D'IVREA TO
B954;CASEI GEROLA PV
B955;CASELETTE TO
B956;CASELLA GE
B959;CASELLE IN PITTARI SA
B961;CASELLE LANDI LO
B958;CASELLE LURANI LO
B960;CASELLE TORINESE TO
B963;CASERTA CE
B965;CASIER TV
B966;CASIGNANA RC
B967;CASINA RE
B971;CASIRATE D'ADDA BG
B974;CASLINO D'ERBA CO
B977;CASNATE CON BERNATE CO
B978;CASNIGO BG
B980;CASOLA DI NAPOLI NA
B979;CASOLA IN LUNIGIANA MS
B982;CASOLA VALSENIO RA
B983;CASOLE BRUZIO CS
B984;CASOLE D'ELSA SI
B985;CASOLI CH
B988;CASORATE PRIMO PV
B987;CASORATE SEMPIONE VA
B989;CASOREZZO MI
B990;CASORIA NA
B991;CASORZO AT
A472;CASPERIA RI
B993;CASPOGGIO SO
B994;CASSACCO UD
B996;CASSAGO BRIANZA LC
C002;CASSANO ALLO IONIO CS
C003;CASSANO D'ADDA MI
B998;CASSANO DELLE MURGE BA
B997;CASSANO IRPINO AV
C121;CASTEL GUELFO DI BOLOGNA BO
C203;CASTEL MADAMA RM
C204;CASTEL MAGGIORE BO
C208;CASTEL MELLA BS
C211;CASTEL MORRONE CE

C007;CASSIGLIO BG
C014;CASSINA DE' PECCHI MI
C020;CASSINA RIZZARDI CO
C024;CASSINA VALSASSINA LC
C022;CASSINASCO AT
C027;CASSINE AL
C030;CASSINELLE AL
C033;CASSINETTA DI LUGAGNANO MI
C034;CASSINO FR
C037;CASSOLA VI
C038;CASSOLNOVO PV
C041;CASTAGNARO VR
C044;CASTAGNETO CARDUCCI LI
C045;CASTAGNETO PO TO
C046;CASTAGNITO CN
C049;CASTAGNOLE DELLE LANZE AT
C047;CASTAGNOLE MONFERRATO AT
C048;CASTAGNOLE PIEMONTE TO
C050;CASTANA PV
C052;CASTANO PRIMO MI
C053;CASTEGGIO PV
C055;CASTEGNATO BS
C056;CASTEGNERO VI
C058;CASTEL BARONIA AV
C064;CASTEL BOGLIONE AT
C065;CASTEL BOLOGNESE RA
B494;CASTEL CAMPAGNANO CE
C040;CASTEL CASTAGNA TE
C071;CASTEL COLONNA AN
C183;CASTEL CONDINO TN
C075;CASTEL D'AIANO BO
C076;CASTEL D'ARIO MN
C078;CASTEL D'AZZANO VR
C082;CASTEL DEL GIUDICE IS
C083;CASTEL DEL MONTE AQ
C085;CASTEL DEL PIANO GR
C086;CASTEL DEL RIO BO
B969;CASTEL DI CASIO BO
C090;CASTEL DI IERI AQ
C091;CASTEL DI IUDICA CT
C093;CASTEL DI LAMA AP
C094;CASTEL DI LUCIO ME
C096;CASTEL DI SANGRO AQ
C097;CASTEL DI SASSO CE
C098;CASTEL DI TORA RI
C102;CASTEL FOCOGNANO AR
C114;CASTEL FRENTANO CH
C115;CASTEL GABBIANO CR
C116;CASTEL GANDOLFO RM
C117;CASTEL GIORGIO TR
C118;CASTEL GOFFREDO MN
C135;CASTELLANA SICULA PA
C136;CASTELLANETA TA
C137;CASTELLANIA AL
C139;CASTELLANZA VA
C140;CASTELLAR CN
C252;CASTEL RITALDI PG
C253;CASTEL ROCCHERO AT
C255;CASTEL ROZZONE BG
C259;CASTEL SAN GIORGIO SA
C261;CASTEL SAN GIOVANNI PC
C262;CASTEL SAN LORENZO SA
C263;CASTEL SAN NICCOLO' AR
C266;CASTEL SAN PIETRO ROMANO RM
C265;CASTEL SAN PIETRO TERME BO
C270;CASTEL SAN VINCENZO IS
C268;CASTEL SANT'ANGELO RI
C269;CASTEL SANT'ELIA VT
C289;CASTEL VISCARDO TR
C110;CASTEL VITTORIO IM
C291;CASTEL VOLTURNO CE
C057;CASTELBALDO PD
C059;CASTELBELFORTE MN
C060;CASTELBELLINO AN
C062;CASTELBELLO CIARDES .KASTELBELL TSCHARS. BZ
C063;CASTELBIANCO SV
C066;CASTELBOTTACCIO CB
C067;CASTELBUONO PA
C069;CASTELCIVITA SA
C072;CASTELCOVATI BS
C073;CASTELCUCCO TV
C074;CASTELDACCIA PA
C080;CASTELDELCI PU
C081;CASTELDELFINO CN
C089;CASTELDIDONE CR
C100;CASTELFIDARDO AN
C101;CASTELFIORENTINO FI
C103;CASTELFONDO TN
C104;CASTELFORTE LT
C105;CASTELFRANCI AV
C112;CASTELFRANCO DI SOPRA AR
C113;CASTELFRANCO DI SOTTO PI
C107;CASTELFRANCO EMILIA MO
C106;CASTELFRANCO IN MISCANO BN
C111;CASTELFRANCO VENETO TV
C119;CASTELGOMBERTO VI
C120;CASTELGRANDE PZ
C122;CASTELGUGLIELMO RO
C123;CASTELGUIDONE CH
C125;CASTELLABATE SA
C126;CASTELLAFIUME AQ
C127;CASTELL'ALFERO AT
C128;CASTELLALTO TE
C130;CASTELLAMMARE DEL GOLFO TP
C129;CASTELLAMMARE DI STABIA NA
C133;CASTELLAMONTE TO
C134;CASTELLANA GROTTE BA
C209;CASTELMEZZANO PZ
C210;CASTELMOLA ME
C213;CASTELNOVETTO PV
C215;CASTELNOVO BARIANO RO
C217;CASTELNOVO DEL FRIULI PN
C142;CASTELLAR GUIDOBONO AL
C141;CASTELLARANO RE
C143;CASTELLARO IM
C145;CASTELL'ARQUATO PC
C146;CASTELLAVAZZO BL
C147;CASTELL'AZZARA GR
C148;CASTELLAZZO BORMIDA AL
C149;CASTELLAZZO NOVARESE NO
C153;CASTELLEONE CR
C152;CASTELLEONE DI SUASA AN
C154;CASTELLERO AT
C155;CASTELLETTO CERVO BI
C156;CASTELLETTO D'ERRO AL
C157;CASTELLETTO DI BRANDUZZO PV
C158;CASTELLETTO D'ORBA AL
C160;CASTELLETTO MERLI AL
C161;CASTELLETTO MOLINA AT
C162;CASTELLETTO MONFERRATO AL
C166;CASTELLETTO SOPRA TICINO NO
C165;CASTELLETTO STURA CN
C167;CASTELLETTO UZZONE CN
C169;CASTELLI TE
C079;CASTELLI CALEPIO BG
C172;CASTELLINA IN CHIANTI SI
C174;CASTELLINA MARITTIMA PI
C173;CASTELLINALDO CN
C175;CASTELLINO DEL BIFERNO CB
C176;CASTELLINO TANARO CN
C177;CASTELLIRI FR
B312;CASTELLO CABIAGLIO VA
C184;CASTELLO D'AGOGNA PV
C185;CASTELLO D'ARGILE BO
C178;CASTELLO DEL MATESE CE
C186;CASTELLO DELL'ACQUA SO
A300;CASTELLO DI ANNONE AT
C187;CASTELLO DI BRIANZA LC
C188;CASTELLO DI CISTERNA NA
C190;CASTELLO DI GODEGO TV
C191;CASTELLO DI SERRAVALLE BO
C194;CASTELLO TESINO TN
C189;CASTELLO-MOLINA DI FIEMME TN
C195;CASTELLUCCHIO MN
C198;CASTELLUCCIO DEI SAURI FG
C199;CASTELLUCCIO INFERIORE PZ
C201;CASTELLUCCIO SUPERIORE PZ
C202;CASTELLUCCIO VALMAGGIORE FG
C051;CASTELL'UMBERTO ME
C205;CASTELMAGNO CN
C206;CASTELMARTE CO
C207;CASTELMASSA RO
C197;CASTELMAURO CB
C292;CASTENASO BO
C293;CASTENEDOLO BS
M288;CASTIADAS CA
C318;CASTIGLION FIBOCCHI AR
C319;CASTIGLION FIORENTINO AR
C218;CASTELNOVO DI SOTTO RE
C219;CASTELNOVO NE' MONTI RE
C216;CASTELNUOVO TN
C226;CASTELNUOVO BELBO AT
C227;CASTELNUOVO BERARDENGA SI
C228;CASTELNUOVO BOCCA D'ADDA LO
C229;CASTELNUOVO BORMIDA AL
C220;CASTELNUOVO BOZZENTE CO
C230;CASTELNUOVO CALCEA AT
C231;CASTELNUOVO CILENTO SA
C225;CASTELNUOVO DEL GARDA VR
C222;CASTELNUOVO DELLA DAUNIA FG
C214;CASTELNUOVO DI CEVA CN
C235;CASTELNUOVO DI CONZA SA
C224;CASTELNUOVO DI FARFA RI
C236;CASTELNUOVO DI GARFAGNANA LU
C237;CASTELNUOVO DI PORTO RM
C232;CASTELNUOVO DON BOSCO AT
C240;CASTELNUOVO MAGRA SP
C241;CASTELNUOVO NIGRA TO
C223;CASTELNUOVO PARANO FR
C242;CASTELNUOVO RANGONE MO
C243;CASTELNUOVO SCRIVIA AL
C244;CASTELNUOVO VAL DI CECINA PI
C245;CASTELPAGANO BN
C246;CASTELPETROSO IS
C247;CASTELPIZZUTO IS
C248;CASTELPLANIO AN
C250;CASTELPOTO BN
C251;CASTELRAIMONDO MC
C254;CASTELROTTO .KASTELRUTH. BZ
C267;CASTELSANTANGELO SUL NERA MC
C271;CASTELSARACENO PZ
C272;CASTELSARDO SS
C273;CASTELSEPRIO VA
B968;CASTELSILANO KR
C274;CASTELSPINA AL
C275;CASTELTERMINI AG
C181;CASTELVECCANA VA
C278;CASTELVECCHIO CALVISIO AQ
C276;CASTELVECCHIO DI ROCCA BARBENA SV
C279;CASTELVECCHIO SUBEQUO AQ
C280;CASTELVENERE BN
B129;CASTELVERDE CR
C200;CASTELVERRINO IS
C284;CASTELVETERE IN VAL FORTORE BN
C283;CASTELVETERE SUL CALORE AV
C286;CASTELVETRANO TP
C287;CASTELVETRO DI MODENA MO
C288;CASTELVETRO PIACENTINO PC
C290;CASTELVISCONTI CR
C357;CATTOLICA RN
C356;CATTOLICA ERACLEA AG
C285;CAULONIA RC
C359;CAUTANO BN
C361;CAVA DE' TIRRENI SA
C308;CASTIGLIONE A CASAURIA PE
C302;CASTIGLIONE CHIAVARESE GE
C301;CASTIGLIONE COSENTINO CS
C304;CASTGLIONE D'ADDA LO
C296;CASTIGLIONE DEI PEPOLI BO
C306;CASTIGLIONE DEL GENOVESI SA
C309;CASTIGLIONE DEL LAGO PG
C310;CASTIGLIONE DELLA PESCAIA GR
C312;CASTIGLIONE DELLE STIVIERE MN
C303;CASTIGLIONE DI GARFAGNANA LU
C297;CASTIGLIONE DI SICILIA CT
C299;CASTIGLIONE D'INTELVI CO
C313;CASTIGLIONE D'ORCIA SI
C314;CASTIGLIONE FALLETTO CN
C315;CASTIGLIONE IN TEVERINA VT
C298;CASTIGLIONE MESSER MARINO CH
C316;CASTIGLIONE MESSER RAIMONDO TE
C300;CASTIGLIONE OLONA VA
C317;CASTIGLIONE TINELLA CN
C307;CASTIGLIONE TORINESE TO
C321;CASTIGNANO AP
C322;CASTILENTI TE
C323;CASTINO CN
C325;CASTIONE ANDEVENNO SO
C324;CASTIONE DELLA PRESOLANA BG
C327;CASTIONS DI STRADA UD
C329;CASTIRAGA VIDARDO LO
C330;CASTO BS
C331;CASTORANO AP
C332;CASTREZZATO BS
C334;CASTRI DI LECCE LE
C335;CASTRIGNANO DE' GRECI LE
C336;CASTRIGNANO DEL CAPO LE
C337;CASTRO BG
M261;CASTRO LE
C338;CASTRO DEI VOLSCI FR
C339;CASTROCARO TERME E TERRA DEL SOLE FC
C340;CASTROCIELO FR
C341;CASTROFILIPPO AG
C108;CASTROLIBERO CS
C343;CASTRONNO VA
C344;CASTRONOVO DI SICILIA PA
C345;CASTRONUOVO DI SANT'ANDREA PZ
C346;CASTROPIGNANO CB
C347;CASTROREALE ME
C348;CASTROREGIO CS
C349;CASTROVILLARI CS
C351;CATANIA CT
C352;CATANZARO CZ
C353;CATENANUOVA EN
C354;CATIGNANO PE
C430;CELICO CS
C435;CELLA DATI CR
C432;CELLA MONTE AL
C436;CELLAMARE BA
C437;CELLARA CS
C360;CAVA MANARA PV
C362;CAVACURTA LO
C363;CAVAGLIA' BI
C364;CAVAGLIETTO NO
C365;CAVAGLIO D'AGOGNA NO
C367;CAVAGLIO-SPOCCIA VB
C369;CAVAGNOLO TO
C370;CAVAION VERONESE VR
C372;CAVALESE TN
C374;CAVALLASCA CO
C375;CAVALLERLEONE CN
C376;CAVALLERMAGGIORE CN
C377;CAVALLINO LE
M308;CAVALLINO-TREPORTI VE
C378;CAVALLIRIO NO
C380;CAVARENO TN
C381;CAVARGNA CO
C382;CAVARIA CON PREMEZZO VA
C383;CAVARZERE VE
C384;CAVASO DEL TOMBA TV
C385;CAVASSO NUOVO PN
C387;CAVATORE AL
C389;CAVAZZO CARNICO UD
C390;CAVE RM
C392;CAVEDAGO TN
C393;CAVEDINE TN
C394;CAVENAGO D'ADDA LO
C395;CAVENAGO DI BRIANZA MI
C396;CAVERNAGO BG
C398;CAVEZZO MO
C400;CAVIZZANA TN
C404;CAVOUR TO
C405;CAVRIAGO RE
C406;CAVRIANA MN
C407;CAVRIGLIA AR
C409;CAZZAGO BRABBIA VA
C408;CAZZAGO SAN MARTINO BS
C412;CAZZANO DI TRAMIGNA VR
C410;CAZZANO SANT'ANDREA BG
C413;CECCANO FR
C414;CECIMA PV
C415;CECINA LI
C417;CEDEGOLO BS
C418;CEDRASCO SO
C420;CEFALA' DIANA PA
C421;CEFALU' PA
C422;CEGGIA VE
C424;CEGLIE MESSAPICO BR
C426;CELANO AQ
C428;CELENZA SUL TRIGNO CH
C429;CELENZA VALFORTORE FG
C503;CERESETO AL
C504;CERESOLE ALBA CN
C505;CERESOLE REALE TO
C506;CERETE BG
C508;CERETTO LOMELLINA PV
C438;CELLARENGO AT
C439;CELLATICA BS
C444;CELLE DI BULGHERIA SA
C441;CELLE DI MACRA CN
