E394;LA CASSA TO
E735;LUISAGO CO
E736;LULA NU
E737;LUMARZO GE
E738;LUMEZZANE BS
E742;LUNAMATRONA CA
E743;LUNANO PU
B387;LUNGAVILLA PV
E745;LUNGRO CS
E746;LUOGOSANO AV
E747;LUOGOSANTO SS
E748;LUPARA CB
E749;LURAGO D'ERBA CO
E750;LURAGO MARINONE CO
E751;LURANO BG
E752;LURAS SS
E753;LURATE CACCIVIO CO
E754;LUSCIANO CE
E757;LUSERNA TN
E758;LUSERNA SAN GIOVANNI TO
E759;LUSERNETTA TO
E760;LUSEVERA UD
E761;LUSIA RO
E762;LUSIANA VI
E763;LUSIGLIE' TO
E764;LUSON .LUSEN. BZ
E767;LUSTRA SA
E769;LUVINATE VA
E770;LUZZANA BG
E772;LUZZARA RE
E773;LUZZI CS
