A534;BACENO VB
A802;BERNAREGGIO MI
A804;BERNATE TICINO MI
A805;BERNEZZO CN
A806;BERRA FE
A808;BERSONE TN
A809;BERTINORO FC
A810;BERTIOLO UD
A811;BERTONICO LO
A812;BERZANO DI SAN PIETRO AT
A813;BERZANO DI TORTONA AL
A816;BERZO DEMO BS
A817;BERZO INFERIORE BS
A815;BERZO SAN FERMO BG
A818;BESANA IN BRIANZA MI
A819;BESANO VA
A820;BESATE MI
A821;BESENELLO TN
A903;BLELLO BG
A857;BLERA VT
A826;BESOZZO VA
A827;BESSUDE SS
A831;BETTOLA PC
A832;BETTONA PG
A834;BEURA-CARDEZZA VB
A835;BEVAGNA PG
A836;BEVERINO SP
A837;BEVILACQUA VR
A839;BEZZECCA TN
A841;BIANCAVILLA CT
A842;BIANCHI CS
A843;BIANCO RC
A844;BIANDRATE NO
A845;BIANDRONNO VA
A846;BIANZANO BG
A847;BIANZE' VC
A848;BIANZONE SO
A849;BIASSONO MI
A850;BIBBIANO RE
A851;BIBBIENA AR
A852;BIBBONA LI
A853;BIBIANA TO
A854;BICCARI FG
A855;BICINICCO UD
A856;BIDONI' OR
A859;BIELLA BI
A861;BIENNO BS
A863;BIENO TN
A864;BIENTINA PI
A866;BIGARELLO MN
A870;BINAGO CO
A872;BINASCO MI
A874;BINETTO BA
A876;BIOGLIO BI
A877;BIONAZ AO
A878;BIONE BS
A880;BIRORI NU
A881;BISACCIA AV
A882;BISACQUINO PA
A883;BISCEGLIE BA
A884;BISEGNA AQ
A885;BISENTI TE
A887;BISIGNANO CS
A889;BISTAGNO AL
A891;BISUSCHIO VA
A892;BITETTO BA
A893;BITONTO BA
A894;BITRITTO BA
A895;BITTI NU
A896;BIVONA AG
A897;BIVONGI RC
A898;BIZZARONE CO
A901;BLEGGIO INFERIORE TN
A902;BLEGGIO SUPERIORE TN
A979;BONVICINO CN
A981;BORBONA RI
A904;BLESSAGNO CO
A905;BLEVIO CO
M268;BLUFI PA
A906;BOARA PISANI PD
A909;BOBBIO PC
A910;BOBBIO PELLICE TO
A911;BOCA NO
A912;BOCCHIGLIERO CS
A914;BOCCIOLETO VC
A916;BOCENAGO TN
A918;BODIO LOMNAGO VA
A919;BOFFALORA D'ADDA LO
A920;BOFFALORA SOPRA TICINO MI
A922;BOGLIASCO GE
A925;BOGNANCO VB
A929;BOGOGNO NO
A930;BOIANO CB
A931;BOISSANO SV
A932;BOLANO SP
A933;BOLBENO TN
A937;BOLGARE BG
A940;BOLLATE MI
A941;BOLLENGO TO
A944;BOLOGNA BO
A945;BOLOGNANO PE
A946;BOLOGNETTA PA
A947;BOLOGNOLA MC
A948;BOLOTANA NU
A949;BOLSENA VT
A950;BOLTIERE BG
A952;BOLZANO .BOZEN. BZ
A953;BOLZANO NOVARESE NO
A954;BOLZANO VICENTINO VI
A955;BOMARZO VT
A956;BOMBA CH
A957;BOMPENSIERE CL
A958;BOMPIETRO PA
A959;BOMPORTO MO
A960;BONARCADO OR
A961;BONASSOLA SP
A963;BONATE SOPRA BG
A962;BONATE SOTTO BG
A964;BONAVIGO VR
A965;BONDENO FE
A967;BONDO TN
A968;BONDONE TN
A970;BONEA BN
A971;BONEFRO CB
A972;BONEMERSE CR
A973;BONIFATI CS
A975;BONITO AV
A976;BONNANARO SS
A977;BONO SS
A978;BONORVA SS
B054;BORNO BS
B055;BORONEDDU OR
A982;BORCA DI CADORE BL
A983;BORDANO UD
A984;BORDIGHERA IM
A986;BORDOLANO CR
A987;BORE PR
A988;BORETTO RE
A989;BORGARELLO PV
A990;BORGARO TORINESE TO
A991;BORGETTO PA
A993;BORGHETTO D'ARROSCIA IM
A998;BORGHETTO DI BORBERA AL
A992;BORGHETTO DI VARA SP
A995;BORGHETTO LODIGIANO LO
A999;BORGHETTO SANTO SPIRITO SV
B001;BORGHI FC
B002;BORGIA CZ
B003;BORGIALLO TO
B005;BORGIO VEREZZI SV
B007;BORGO A MOZZANO LU
B009;BORGO D'ALE VC
B010;BORGO DI TERZO BG
B026;BORGO PACE PU
B028;BORGO PRIOLO PV
B033;BORGO SAN DALMAZZO CN
B035;BORGO SAN GIACOMO BS
B017;BORGO SAN GIOVANNI LO
B036;BORGO SAN LORENZO FI
B037;BORGO SAN MARTINO AL
B038;BORGO SAN SIRO PV
B043;BORGO TICINO NO
B044;BORGO TOSSIGNANO BO
B042;BORGO VAL DI TARO PR
B006;BORGO VALSUGANA TN
A996;BORGO VELINO RI
B046;BORGO VERCELLI VC
B011;BORGOFORTE MN
B015;BORGOFRANCO D'IVREA TO
B013;BORGOFRANCO SUL PO MN
B016;BORGOLAVEZZARO NO
B018;BORGOMALE CN
B019;BORGOMANERO NO
B020;BORGOMARO IM
B021;BORGOMASINO TO
B024;BORGONE SUSA TO
B025;BORGONOVO VAL TIDONE PC
B029;BORGORATTO ALESSANDRINO AL
B030;BORGORATTO MORMOROLO PV
B031;BORGORICCO PD
B008;BORGOROSE RI
B040;BORGOSATOLLO BS
B041;BORGOSESIA VC
B048;BORMIDA SV
B049;BORMIO SO
B051;BORNASCO PV
B128;BREDA DI PIAVE TV
B131;BREGANO VA
B132;BREGANZE VI
B056;BORORE NU
B057;BORRELLO CH
B058;BORRIANA BI
B061;BORSO DEL GRAPPA TV
B062;BORTIGALI NU
B063;BORTIGIADAS SS
B064;BORUTTA SS
B067;BORZONASCA GE
B068;BOSA NU
B069;BOSARO RO
B070;BOSCHI SANT'ANNA VR
B073;BOSCO CHIESANUOVA VR
B071;BOSCO MARENGO AL
B075;BOSCONERO TO
B076;BOSCOREALE NA
B077;BOSCOTRECASE NA
B078;BOSENTINO TN
B079;BOSIA CN
B080;BOSIO AL
B081;BOSISIO PARINI LC
B082;BOSNASCO PV
B083;BOSSICO BG
B084;BOSSOLASCO CN
B085;BOTRICELLO CZ
B086;BOTRUGNO LE
B088;BOTTANUCO BG
B091;BOTTICINO BS
B094;BOTTIDDA SS
B097;BOVA RC
B099;BOVA MARINA RC
B098;BOVALINO RC
B100;BOVEGNO BS
B101;BOVES CN
B102;BOVEZZO BS
A720;BOVILLE ERNICA FR
B104;BOVINO FG
B105;BOVISIO-MASCIAGO MI
B106;BOVOLENTA PD
B107;BOVOLONE VR
B109;BOZZOLE AL
B110;BOZZOLO MN
B111;BRA CN
B112;BRACCA BG
B114;BRACCIANO RM
B115;BRACIGLIANO SA
B116;BRAIES .PRAGS. BZ
B117;BRALLO DI PREGOLA PV
B118;BRANCALEONE RC
B120;BRANDICO BS
B121;BRANDIZZO TO
B123;BRANZI BG
B124;BRAONE BS
B126;BREBBIA VA
B203;BRONZOLO .BRANZOLL. BZ
B204;BROSSASCO CN
B205;BROSSO TO
B134;BREGNANO CO
B135;BREGUZZO TN
B136;BREIA VC
B137;BREMBATE BG
B138;BREMBATE DI SOPRA BG
B140;BREMBILLA BG
B141;BREMBIO LO
B142;BREME PV
B143;BRENDOLA VI
B144;BRENNA CO
B145;BRENNERO .BRENNER. BZ
B149;BRENO BS
B150;BRENTA VA
B152;BRENTINO BELLUNO VR
B153;BRENTONICO TN
B154;BRENZONE VR
B156;BRESCELLO RE
B157;BRESCIA BS
B158;BRESIMO TN
B159;BRESSANA BOTTARONE PV
B160;BRESSANONE .BRIXEN. BZ
B161;BRESSANVIDO VI
B162;BRESSO MI
B165;BREZ TN
B166;BREZZO DI BEDERO VA
B167;BRIAGLIA CN
B169;BRIATICO VV
B171;BRICHERASIO TO
B172;BRIENNO CO
B173;BRIENZA PZ
B175;BRIGA ALTA CN
B176;BRIGA NOVARESE NO
B178;BRIGNANO GERA D'ADDA BG
B179;BRIGNANO-FRASCATA AL
B180;BRINDISI BR
B181;BRINDISI MONTAGNA PZ
B182;BRINZIO VA
B183;BRIONA NO
B184;BRIONE BS
B185;BRIONE TN
B187;BRIOSCO MI
B188;BRISIGHELLA RA
B191;BRISSAGO-VALTRAVAGLIA VA
B192;BRISSOGNE AO
B193;BRITTOLI PE
B194;BRIVIO LC
B195;BROCCOSTELLA FR
B196;BROGLIANO VI
B197;BROGNATURO VV
B198;BROLO ME
B200;BRONDELLO CN
B201;BRONI PV
B202;BRONTE CT
B281;BUSACHI OR
B282;BUSALLA GE
B283;BUSANA RE
B207;BROVELLO-CARPUGNINO VB
B209;BROZOLO TO
B212;BRUGHERIO MI
B213;BRUGINE PD
B214;BRUGNATO SP
B215;BRUGNERA PN
B216;BRUINO TO
B217;BRUMANO BG
B218;BRUNATE CO
B219;BRUNELLO VA
B220;BRUNICO .BRUNECK. BZ
B221;BRUNO AT
B223;BRUSAPORTO BG
B225;BRUSASCO TO
B227;BRUSCIANO NA
B228;BRUSIMPIANO VA
B229;BRUSNENGO BI
B230;BRUSSON AO
B232;BRUZOLO TO
B234;BRUZZANO ZEFFIRIO RC
B235;BUBBIANO MI
B236;BUBBIO AT
B237;BUCCHERI SR
B238;BUCCHIANICO CH
B239;BUCCIANO BN
B240;BUCCINASCO MI
B242;BUCCINO SA
B243;BUCINE AR
B246;BUDDUSO' SS
B247;BUDOIA PN
B248;BUDONI NU
B249;BUDRIO BO
B250;BUGGERRU CA
B251;BUGGIANO PT
B255;BUGLIO IN MONTE SO
B256;BUGNARA AQ
B258;BUGUGGIATE VA
B259;BUJA UD
B261;BULCIAGO LC
B262;BULGAROGRASSO CO
B264;BULTEI SS
B265;BULZI SS
B266;BUONABITACOLO SA
B267;BUONALBERGO BN
B269;BUONCONVENTO SI
B270;BUONVICINO CS
B272;BURAGO DI MOLGORA MI
B274;BURCEI CA
B275;BURGIO AG
B276;BURGOS SS
B278;BURIASCO TO
B279;BUROLO TO
B280;BURONZO VC
B375;CALALZO DI CADORE BL
B376;CALAMANDRANA AT
B377;CALAMONACI AG
B284;BUSANO TO
B285;BUSCA CN
B286;BUSCATE MI
B287;BUSCEMI SR
B288;BUSETO PALIZZOLO TP
B289;BUSNAGO MI
B292;BUSSERO MI
B293;BUSSETO PR
B294;BUSSI SUL TIRINO PE
B295;BUSSO CB
B296;BUSSOLENGO VR
B297;BUSSOLENO TO
B300;BUSTO ARSIZIO VA
B301;BUSTO GAROLFO MI
B302;BUTERA CL
B303;BUTI PI
B304;BUTTAPIETRA VR
B305;BUTTIGLIERA ALTA TO
B306;BUTTIGLIERA D'ASTI AT
B309;BUTTRIO UD
