L566;VALDUGGIA VC
D193;VERONELLA VR
L783;VERRAYES AO
C282;VERRES AO
L784;VERRETTO PV
L785;VERRONE BI
L788;VERRUA PO PV
L787;VERRUA SAVOIA TO
L792;VERTEMATE CON MINOPRIO CO
L795;VERTOVA BG
L797;VERUCCHIO RN
L798;VERUNO NO
L729;VENASCA CN
L726;VENAUS TO
L730;VENDONE SV
L731;VENDROGNO LC
L733;VENEGONO INFERIORE VA
L734;VENEGONO SUPERIORE VA
L735;VENETICO ME
L736;VENEZIA VE
L737;VENIANO CO
L738;VENOSA PZ
L739;VENTICANO AV
L741;VENTIMIGLIA IM
L740;VENTIMIGLIA DI SICILIA PA
L742;VENTOTENE LT
L743;VENZONE UD
L745;VERANO .VORAN. BZ
L744;VERANO BRIANZA MI
L746;VERBANIA VB
L747;VERBICARO CS
L748;VERCANA CO
L749;VERCEIA SO
L750;VERCELLI VC
L751;VERCURAGO LC
L752;VERDELLINO BG
L753;VERDELLO BG
L755;VERDERIO INFERIORE LC
L756;VERDERIO SUPERIORE LC
L758;VERDUNO CN
L762;VERGATO BO
L763;VERGEMOLI LU
L764;VERGHERETO FC
L765;VERGIATE VA
L768;VERMEZZO MI
L769;VERMIGLIO TN
L838;VICCHIO FI
L840;VICENZA VI
L548;VICO CANAVESE TO
L842;VICO DEL GARGANO FG
L845;VICO EQUENSE NA
L843;VICO NEL LAZIO FR
L841;VICOFORTE CN
L846;VICOLI PE
L847;VICOLUNGO NO
L850;VICOPISANO PI
L851;VICOVARO RM
M259;VIDDALBA SS
L854;VIDIGULFO PV
L856;VIDOR TV
L857;VIDRACCO TO
L858;VIESTE FG
L859;VIETRI DI POTENZA PZ
L860;VIETRI SUL MARE SA
L864;VIGANELLA VB
L866;VIGANO' LC
L865;VIGANO SAN MARTINO BG
L868;VIGARANO MAINARDA FE
L799;VERVIO SO
L800;VERVO' TN
L801;VERZEGNIS UD
L802;VERZINO KR
L804;VERZUOLO CN
L805;VESCOVANA PD
L806;VESCOVATO CR
L807;VESIME AT
L808;VESPOLATE NO
L809;VESSALICO IM
L810;VESTENANOVA VR
L811;VESTIGNE' TO
L812;VESTONE BS
L813;VESTRENO LC
L814;VETRALLA VT
L815;VETTO RE
L817;VEZZA D'ALBA CN
L816;VEZZA D'OGLIO BS
L821;VEZZANO TN
L819;VEZZANO LIGURE SP
L820;VEZZANO SUL CROSTOLO RE
L823;VEZZI PORTIO SV
L826;VIADANA MN
L827;VIADANICA BG
L828;VIAGRANDE CT
L829;VIALE D'ASTI AT
L830;VIALFRE' TO
L831;VIANO RE
L833;VIAREGGIO LU
L834;VIARIGI AT
F537;VIBO VALENTIA VV
L835;VIBONATI SA
L836;VICALVI FR
L837;VICARI PA
L926;VILLA COLLEMANDINA LU
L928;VILLA CORTESE MI
L929;VILLA D'ADDA BG
A215;VILLA D'ALME' BG
L933;VILLA DEL BOSCO BI
L934;VILLA DEL CONTE PD
D801;VILLA DI BRIANO CE
L907;VILLA DI CHIAVENNA SO
L936;VILLA DI SERIO BG
L908;VILLA DI TIRANO SO
L938;VILLA D'OGNA BG
L937;VILLA ESTENSE PD
L943;VILLA FARALDI IM
L956;VILLA GUARDIA CO
L957;VILLA LAGARINA TN
A081;VILLA LATINA FR
L844;VILLA LITERNO CE
L969;VILLA MINOZZO RE
F804;VILLA POMA MN
M006;VILLA RENDENA TN
M018;VILLA SAN GIOVANNI RC
H913;VILLA SAN GIOVANNI IN TUSCIA VT
L869;VIGASIO VR
L872;VIGEVANO PV
L873;VIGGIANELLO PZ
L874;VIGGIANO PZ
L876;VIGGIU' VA
L878;VIGHIZZOLO D'ESTE PD
L880;VIGLIANO BIELLESE BI
L879;VIGLIANO D'ASTI AT
L881;VIGNALE MONFERRATO AL
L882;VIGNANELLO VT
L883;VIGNATE MI
L885;VIGNOLA MO
L886;VIGNOLA FALESINA TN
L887;VIGNOLE BORBERA AL
L888;VIGNOLO CN
L889;VIGNONE VB
L890;VIGO DI CADORE BL
L893;VIGO DI FASSA TN
L903;VIGO RENDENA TN
L892;VIGODARZERE PD
L894;VIGOLO BG
L896;VIGOLO VATTARO TN
L897;VIGOLZONE PC
L898;VIGONE TO
L899;VIGONOVO VE
L900;VIGONZA PD
L904;VIGUZZOLO AL
L910;VILLA AGNEDO TN
L912;VILLA BARTOLOMEA VR
L913;VILLA BASILICA LU
L917;VILLA BISCOSSI PV
L919;VILLA CARCINA BS
L920;VILLA CASTELLI BR
L922;VILLA CELIERA PE
L965;VILLAMAINA AV
L966;VILLAMAR CA
L967;VILLAMARZANA RO
L968;VILLAMASSARGIA CA
L970;VILLAMIROGLIO AL
L971;VILLANDRO .VILLANDERS. BZ
L978;VILLANOVA BIELLESE BI
L982;VILLANOVA CANAVESE TO
L975;VILLANOVA D'ALBENGA SV
L983;VILLANOVA D'ARDENGHI PV
L984;VILLANOVA D'ASTI AT
L973;VILLANOVA DEL BATTISTA AV
L985;VILLANOVA DEL GHEBBO RO
L977;VILLANOVA DEL SILLARO LO
L979;VILLANOVA DI CAMPOSAMPIERO PD
L988;VILLANOVA MARCHESANA RO
L974;VILLANOVA MONDOVI' CN
L972;VILLANOVA MONFERRATO AL
L989;VILLANOVA MONTELEONE SS
L990;VILLANOVA SOLARO CN
L980;VILLANOVA SULL'ARDA PC
L991;VILLANOVA TRUSCHEDU OR
I118;VILLA SAN PIETRO CA
M019;VILLA SAN SECONDO AT
L905;VILLA SANTA LUCIA FR
M021;VILLA SANTA LUCIA DEGLI ABRUZZI AQ
M022;VILLA SANTA MARIA CH
M023;VILLA SANT'ANGELO AQ
I298;VILLA SANT'ANTONIO OR
L909;VILLA SANTINA UD
I364;VILLA SANTO STEFANO FR
A609;VILLA VERDE OR
M034;VILLA VICENTINA UD
L915;VILLABASSA .NIEDERDORF. BZ
L916;VILLABATE PA
L923;VILLACHIARA BS
L924;VILLACIDRO CA
L931;VILLADEATI AL
L939;VILLADOSE RO
L906;VILLADOSSOLA VB
L942;VILLAFALLETTO CN
L945;VILLAFRANCA D'ASTI AT
L949;VILLAFRANCA DI VERONA VR
L946;VILLAFRANCA IN LUNIGIANA MS
L947;VILLAFRANCA PADOVANA PD
L948;VILLAFRANCA PIEMONTE TO
L944;VILLAFRANCA SICULA AG
L950;VILLAFRANCA TIRRENA ME
L951;VILLAFRATI PA
L952;VILLAGA VI
L953;VILLAGRANDE STRISAILI NU
L958;VILLALAGO AQ
L959;VILLALBA CL
L961;VILLALFONSINA CH
L963;VILLALVERNIA AL
L964;VILLAMAGNA CH
M045;VILLONGO BG
M048;VILLORBA TV
M050;VILMINORE DI SCALVE BG
M052;VIMERCATE MI
M053;VIMODRONE MI
M055;VINADIO CN
M057;VINCHIATURO CB
M058;VINCHIO AT
M059;VINCI FI
M060;VINOVO TO
M062;VINZAGLIO NO
M063;VIOLA CN
M065;VIONE BS
M067;VIPITENO .STERZING. BZ
H123;VIRGILIO MN
M069;VIRLE PIEMONTE TO
M070;VISANO BS
M071;VISCHE TO
M072;VISCIANO NA
M073;VISCO UD
M077;VISONE AL
M078;VISSO MC
L986;VILLANOVAFORRU CA
L987;VILLANOVAFRANCA CA
L992;VILLANOVATULO NU
L994;VILLANTERIO PV
L995;VILLANUOVA SUL CLISI BS
M278;VILLAPERUCCIO CA
B903;VILLAPIANA CS
L998;VILLAPUTZU CA
L999;VILLAR DORA TO
M007;VILLAR FOCCHIARDO TO
M013;VILLAR PELLICE TO
M014;VILLAR PEROSA TO
M015;VILLAR SAN COSTANZO CN
M002;VILLARBASSE TO
M003;VILLARBOIT VC
M004;VILLAREGGIA TO
G309;VILLARICCA NA
M009;VILLAROMAGNANO AL
M011;VILLAROSA EN
M016;VILLASALTO CA
M017;VILLASANTA MI
B738;VILLASIMIUS CA
M025;VILLASOR CA
M026;VILLASPECIOSA CA
M027;VILLASTELLONE TO
M028;VILLATA VC
M030;VILLAURBANA OR
M031;VILLAVALLELONGA AQ
M032;VILLAVERLA VI
L981;VILLENEUVE AO
M043;VILLESSE GO
M041;VILLETTA BARREA AQ
M042;VILLETTE VB
M044;VILLIMPENTA MN
M120;VOLPEDO AL
M121;VOLPEGLINO AL
M122;VOLPIANO TO
M125;VOLTA MANTOVANA MN
M123;VOLTAGGIO AL
M124;VOLTAGO AGORDINO BL
M126;VOLTERRA PI
M127;VOLTIDO CR
M131;VOLTURARA APPULA FG
M130;VOLTURARA IRPINA AV
M132;VOLTURINO FG
M133;VOLVERA TO
M136;VOTTIGNASCO CN
M079;VISTARINO PV
M080;VISTRORIO TO
M081;VITA TP
M082;VITERBO VT
M083;VITICUSO FR
M085;VITO D'ASIO PN
M086;VITORCHIANO VT
M088;VITTORIA RG
M089;VITTORIO VENETO TV
M090;VITTORITO AQ
M091;VITTUONE MI
M093;VITULANO BN
M092;VITULAZIO CE
M094;VIU' TO
M096;VIVARO PN
M095;VIVARO ROMANO RM
M098;VIVERONE BI
M100;VIZZINI CT
M101;VIZZOLA TICINO VA
M102;VIZZOLO PREDABISSI MI
M103;VO PD
M104;VOBARNO BS
M105;VOBBIA GE
M106;VOCCA VC
M108;VODO DI CADORE BL
M109;VOGHERA PV
M110;VOGHIERA FE
M111;VOGOGNA VB
M113;VOLANO TN
M115;VOLLA NA
M116;VOLONGO CR
M118;VOLPAGO DEL MONTELLO TV
M119;VOLPARA PV
