G234;PAGLIARA ME
G288;PALMI RC
G289;PALMIANO AP
G290;PALMOLI CH
G291;PALO DEL COLLE BA
G293;PALOMBARA SABINA RM
G294;PALOMBARO CH
G292;PALOMONTE SA
G295;PALOSCO BG
G297;PALU' VR
G296;PALU' DEL FERSINA TN
G298;PALUDI CS
G300;PALUZZA UD
G302;PAMPARATO CN
G381;PAULARO UD
G382;PAULI ARBAREI CA
G384;PAULILATINO OR
G385;PAULLO MI
G386;PAUPISI BN
G387;PAVAROLO TO
G388;PAVIA PV
G389;PAVIA DI UDINE UD
G392;PAVONE CANAVESE TO
G391;PAVONE DEL MELLA BS
G393;PAVULLO NEL FRIGNANO MO
G394;PAZZANO RC
G395;PECCIOLI PI
G396;PECCO TO
G324;PARABIAGO MI
G325;PARABITA LE
G327;PARATICO BS
G328;PARCINES .PARTSCHINS. BZ
G329;PARE' CO
G330;PARELLA TO
G331;PARENTI CS
G333;PARETE CE
G334;PARETO AL
G335;PARGHELIA VV
G336;PARLASCO LC
G337;PARMA PR
G338;PARODI LIGURE AL
G339;PAROLDO CN
G340;PAROLISE AV
G342;PARONA PV
G344;PARRANO TR
G346;PARRE BG
G347;PARTANNA TP
G348;PARTINICO PA
G349;PARUZZARO NO
G350;PARZANICA BG
G352;PASIAN DI PRATO UD
G353;PASIANO DI PORDENONE PN
G354;PASPARDO BS
G358;PASSERANO MARMORITO AT
G359;PASSIGNANO SUL TRASIMENO PG
G361;PASSIRANO BS
G362;PASTENA FR
G364;PASTORANO CE
G365;PASTRENGO VR
G367;PASTURANA AL
G368;PASTURO LC
M269;PATERNO PZ
G371;PATERNO' CT
G372;PATERNO CALABRO CS
G370;PATERNOPOLI AV
G374;PATRICA FR
G376;PATTADA SS
G377;PATTI ME
G378;PATU' LE
G379;PAU OR
G450;PERFUGAS SS
G451;PERGINE VALDARNO AR
G452;PERGINE VALSUGANA TN
G453;PERGOLA PU
G454;PERINALDO IM
G455;PERITO SA
G456;PERLEDO LC
G457;PERLETTO CN
G458;PERLO CN
G459;PERLOZ AO
G461;PERNUMIA PD
C013;PERO MI
G463;PEROSA ARGENTINA TO
G462;PEROSA CANAVESE TO
G397;PECETTO DI VALENZA AL
G398;PECETTO TORINESE TO
G399;PECORARA PC
G400;PEDACE CS
G402;PEDARA CT
G403;PEDASO AP
G404;PEDAVENA BL
G406;PEDEMONTE VI
G408;PEDEROBBA TV
G410;PEDESINA SO
G411;PEDIVIGLIANO CS
G412;PEDRENGO BG
G415;PEGLIO CO
G416;PEGLIO PU
G417;PEGOGNAGA MN
G418;PEIA BG
G419;PEJO TN
G420;PELAGO FI
G421;PELLA NO
G424;PELLEGRINO PARMENSE PR
G426;PELLEZZANO SA
G427;PELLIO INTELVI CO
G428;PELLIZZANO TN
G429;PELUGO TN
G430;PENANGO AT
G432;PENNA IN TEVERINA TR
G436;PENNA SAN GIOVANNI MC
G437;PENNA SANT'ANDREA TE
G433;PENNABILLI PU
G434;PENNADOMO CH
G435;PENNAPIEDIMONTE CH
G438;PENNE PE
G439;PENTONE CZ
G441;PERANO CH
G442;PERAROLO DI CADORE BL
G443;PERCA .PERCHA. BZ
G444;PERCILE RM
G445;PERDASDEFOGU NU
G446;PERDAXIUS CA
G447;PERDIFUMO SA
G448;PEREGO LC
G449;PERETO AQ
G517;PETRIZZI CZ
G518;PETRONA' CZ
M281;PETROSINO TP
G519;PETRURO IRPINO AV
G520;PETTENASCO NO
G521;PETTINENGO BI
G522;PETTINEO ME
G523;PETTORANELLO DEL MOLISE IS
G524;PETTORANO SUL GIZIO AQ
G525;PETTORAZZA GRIMANI RO
G526;PEVERAGNO CN
G528;PEZZANA VC
G529;PEZZAZE BS
G532;PEZZOLO VALLE UZZONE CN
G465;PERRERO TO
G469;PERSICO DOSIMO CR
G471;PERTENGO VC
G474;PERTICA ALTA BS
G475;PERTICA BASSA BS
G476;PERTOSA SA
G477;PERTUSIO TO
G478;PERUGIA PG
G479;PESARO PU
G480;PESCAGLIA LU
G481;PESCANTINA VR
G482;PESCARA PE
G483;PESCAROLO ED UNITI CR
G484;PESCASSEROLI AQ
G485;PESCATE LC
G486;PESCHE IS
G487;PESCHICI FG
G488;PESCHIERA BORROMEO MI
G489;PESCHIERA DEL GARDA VR
G491;PESCIA PT
G492;PESCINA AQ
G494;PESCO SANNITA BN
G493;PESCOCOSTANZO AQ
G495;PESCOLANCIANO IS
G496;PESCOPAGANO PZ
G497;PESCOPENNATARO IS
G498;PESCOROCCHIANO RI
G499;PESCOSANSONESCO PE
G500;PESCOSOLIDO FR
G502;PESSANO CON BORNAGO MI
G504;PESSINA CREMONESE CR
G505;PESSINETTO TO
G506;PETACCIATO CB
G508;PETILIA POLICASTRO KR
G509;PETINA SA
G510;PETRALIA SOPRANA PA
G511;PETRALIA SOTTANA PA
G513;PETRELLA SALTO RI
G512;PETRELLA TIFERNINA CB
G514;PETRIANO PU
G515;PETRIOLO MC
G516;PETRITOLI AP
G592;PICO FR
G593;PIEA AT
G594;PIEDICAVALLO BI
G597;PIEDIMONTE ETNEO CT
G596;PIEDIMONTE MATESE CE
G598;PIEDIMONTE SAN GERMANO FR
G600;PIEDIMULERA VB
G601;PIEGARO PG
G602;PIENZA SI
G603;PIERANICA CR
G612;PIETRA DE' GIORGI PV
G605;PIETRA LIGURE SV
G619;PIETRA MARAZZI AL
G606;PIETRABBONDANTE IS
G607;PIETRABRUNA IM
G535;PIACENZA PC
G534;PIACENZA D'ADIGE PD
G536;PIADENA CR
G537;PIAGGE PU
G538;PIAGGINE SA
G546;PIAN CAMUNO BS
G552;PIAN DI SCO AR
G542;PIANA CRIXIA SV
G543;PIANA DEGLI ALBANESI PA
G541;PIANA DI MONTE VERNA CE
G547;PIANCASTAGNAIO SI
G549;PIANCOGNO BS
G551;PIANDIMELETO PU
G553;PIANE CRATI CS
G555;PIANELLA PE
G556;PIANELLO DEL LARIO CO
G557;PIANELLO VAL TIDONE PC
G558;PIANENGO CR
G559;PIANEZZA TO
G560;PIANEZZE VI
G561;PIANFEI CN
G564;PIANICO BG
G565;PIANIGA VE
G568;PIANO DI SORRENTO NA
D546;PIANOPOLI CZ
G570;PIANORO BO
G571;PIANSANO VT
G572;PIANTEDO SO
G574;PIARIO BG
G575;PIASCO CN
G576;PIATEDA SO
G577;PIATTO BI
G582;PIAZZA AL SERCHIO LU
G580;PIAZZA ARMERINA EN
G579;PIAZZA BREMBANA BG
G583;PIAZZATORRE BG
G587;PIAZZOLA SUL BRENTA PD
G588;PIAZZOLO BG
G589;PICCIANO PE
G590;PICERNO PZ
G591;PICINISCO FR
G657;PIEVE TORINA MC
G658;PIEVE VERGONTE VB
G637;PIEVEBOVIGLIANA MC
G649;PIEVEPELAGO MO
G659;PIGLIO FR
G660;PIGNA IM
G662;PIGNATARO INTERAMNA FR
G661;PIGNATARO MAGGIORE CE
G663;PIGNOLA PZ
G664;PIGNONE SP
G665;PIGRA CO
G666;PILA VC
G669;PIMENTEL CA
G670;PIMONTE NA
G671;PINAROLO PO PV
G608;PIETRACAMELA TE
G609;PIETRACATELLA CB
G610;PIETRACUPA CB
G611;PIETRADEFUSI AV
G613;PIETRAFERRAZZANA CH
G615;PIETRAFITTA CS
G616;PIETRAGALLA PZ
G618;PIETRALUNGA PG
G620;PIETRAMELARA CE
G604;PIETRAMONTECORVINO FG
G621;PIETRANICO PE
G622;PIETRAPAOLA CS
G623;PIETRAPERTOSA PZ
G624;PIETRAPERZIA EN
G625;PIETRAPORZIO CN
G626;PIETRAROJA BN
G627;PIETRARUBBIA PU
G628;PIETRASANTA LU
G629;PIETRASTORNINA AV
G630;PIETRAVAIRANO CE
G631;PIETRELCINA BN
G636;PIEVE A NIEVOLE PT
G635;PIEVE ALBIGNOLA PV
G638;PIEVE D'ALPAGO BL
G639;PIEVE DEL CAIRO PV
G641;PIEVE DI BONO TN
G642;PIEVE DI CADORE BL
G643;PIEVE DI CENTO BO
G633;PIEVE DI CORIANO MN
G644;PIEVE DI LEDRO TN
G645;PIEVE DI SOLIGO TV
G632;PIEVE DI TECO IM
G647;PIEVE D'OLMI CR
G634;PIEVE EMANUELE MI
G096;PIEVE FISSIRAGA LO
G648;PIEVE FOSCIANA LU
G646;PIEVE LIGURE GE
G650;PIEVE PORTO MORONE PV
G651;PIEVE SAN GIACOMO CR
G653;PIEVE SANTO STEFANO AR
G656;PIEVE TESINO TN
G722;PIZZO VV
G724;PIZZOFERRATO CH
G726;PIZZOLI AQ
G727;PIZZONE IS
G728;PIZZONI VV
G729;PLACANICA RC
G733;PLATACI CS
G734;PLATANIA CZ
G735;PLATI' RC
G299;PLAUS .PLAUS. BZ
G737;PLESIO CO
G740;PLOAGHE SS
G741;PLODIO SV
G742;POCAPAGLIA CN
G743;POCENIA UD
G672;PINASCA TO
G673;PINCARA RO
G674;PINEROLO TO
F831;PINETO TE
G676;PINO D'ASTI AT
G677;PINO SULLA SPONDA DEL LAGO MAGGIORE VA
G678;PINO TORINESE TO
G680;PINZANO AL TAGLIAMENTO PN
G681;PINZOLO TN
G682;PIOBBICO PU
G683;PIOBESI D'ALBA CN
G684;PIOBESI TORINESE TO
G685;PIODE VC
G686;PIOLTELLO MI
G687;PIOMBINO LI
G688;PIOMBINO DESE PD
G690;PIORACO MC
G691;PIOSSASCO TO
G692;PIOVA' MASSAIA AT
G693;PIOVE DI SACCO PD
G694;PIOVENE ROCCHETTE VI
G695;PIOVERA AL
G696;PIOZZANO PC
G697;PIOZZO CN
G699;PIRAINO ME
G702;PISA PI
G703;PISANO NO
G705;PISCINA TO
M291;PISCINAS CA
G707;PISCIOTTA SA
G710;PISOGNE BS
G704;PISONIANO RM
G712;PISTICCI MT
G713;PISTOIA PT
G715;PITEGLIO PT
G716;PITIGLIANO GR
G717;PIUBEGA MN
G718;PIURO SO
G719;PIVERONE TO
G720;PIZZALE PV
G721;PIZZIGHETTONE CR
G790;POLINO TR
G791;POLISTENA RC
G792;POLIZZI GENEROSA PA
G793;POLLA SA
G794;POLLEIN AO
G795;POLLENA TROCCHIA NA
F567;POLLENZA MC
G796;POLLICA SA
G797;POLLINA PA
G798;POLLONE BI
G799;POLLUTRI CH
G800;POLONGHERA CN
G801;POLPENAZZE DEL GARDA BS
G802;POLVERARA PD
G803;POLVERIGI AN
G746;PODENZANA MS
G747;PODENZANO PC
G749;POFI FR
G751;POGGIARDO LE
G752;POGGIBONSI SI
G754;POGGIO A CAIANO PO
G755;POGGIO BERNI RN
G756;POGGIO BUSTONE RI
G757;POGGIO CATINO RI
G761;POGGIO IMPERIALE FG
G763;POGGIO MIRTETO RI
G764;POGGIO MOIANO RI
G765;POGGIO NATIVO RI
G766;POGGIO PICENZE AQ
G768;POGGIO RENATICO FE
G753;POGGIO RUSCO MN
G770;POGGIO SAN LORENZO RI
G771;POGGIO SAN MARCELLO AN
D566;POGGIO SAN VICINO MC
B317;POGGIO SANNITA IS
G758;POGGIODOMO PG
G760;POGGIOFIORITO CH
G762;POGGIOMARINO NA
G767;POGGIOREALE TP
G769;POGGIORSINI BA
G431;POGGIRIDENTI SO
G772;POGLIANO MILANESE MI
G773;POGNANA LARIO CO
G774;POGNANO BG
G775;POGNO NO
G776;POIANA MAGGIORE VI
G777;POIRINO TO
G779;POLAVENO BS
G780;POLCENIGO PN
G782;POLESELLA RO
G783;POLESINE PARMENSE PR
G784;POLI RM
G785;POLIA VV
G786;POLICORO MT
G787;POLIGNANO A MARE BA
G789;POLINAGO MO
G843;PONTEDERA PI
G848;PONTELANDOLFO BN
G849;PONTELATONE CE
G850;PONTELONGO PD
G852;PONTENURE PC
G853;PONTERANICA BG
G858;PONTESTURA AL
G859;PONTEVICO BS
G860;PONTEY AO
G861;PONTI AL
G862;PONTI SUL MINCIO MN
G864;PONTIDA BG
G865;PONTINIA LT
G866;PONTINVREA SV
G867;PONTIROLO NUOVO BG
G804;POMARANCE PI
G805;POMARETTO TO
G806;POMARICO MT
G807;POMARO MONFERRATO AL
G808;POMAROLO TN
G809;POMBIA NO
G811;POMEZIA RM
G812;POMIGLIANO D'ARCO NA
G813;POMPEI NA
G814;POMPEIANA IM
G815;POMPIANO BS
G816;POMPONESCO MN
G817;POMPU OR
G818;PONCARALE BS
G820;PONDERANO BI
G821;PONNA CO
G822;PONSACCO PI
G823;PONSO PD
G826;PONT CANAVESE TO
G825;PONTASSIEVE FI
G545;PONTBOSET AO
G827;PONTE BN
G833;PONTE BUGGIANESE PT
G842;PONTE DELL'OLIO PC
G844;PONTE DI LEGNO BS
G846;PONTE DI PIAVE TV
G830;PONTE GARDENA .WAIDBRUCK. BZ
G829;PONTE IN VALTELLINA SO
G847;PONTE LAMBRO CO
B662;PONTE NELLE ALPI BL
G851;PONTE NIZZA PV
F941;PONTE NOSSA BG
G855;PONTE SAN NICOLO' PD
G856;PONTE SAN PIETRO BG
G831;PONTEBBA UD
G834;PONTECAGNANO FAIANO SA
G836;PONTECCHIO POLESINE RO
G837;PONTECHIANALE CN
G838;PONTECORVO FR
G839;PONTECURONE AL
G840;PONTEDASSIO IM
G913;PORTOFINO GE
G914;PORTOGRUARO VE
G916;PORTOMAGGIORE FE
M257;PORTOPALO DI CAPO PASSERO SR
G922;PORTOSCUSO CA
G925;PORTOVENERE SP
G927;PORTULA BI
G929;POSADA NU
G931;POSINA VI
G932;POSITANO SA
G933;POSSAGNO TV
G934;POSTA RI
G935;POSTA FIBRENO FR
G936;POSTAL .BURGSTALL. BZ
G937;POSTALESIO SO
G869;PONTOGLIO BS
G870;PONTREMOLI MS
G854;PONT-SAINT-MARTIN AO
G871;PONZA LT
G873;PONZANO DI FERMO AP
G872;PONZANO MONFERRATO AL
G874;PONZANO ROMANO RM
G875;PONZANO VENETO TV
G877;PONZONE AL
G878;POPOLI PE
G879;POPPI AR
G881;PORANO TR
G882;PORCARI LU
G886;PORCIA PN
G888;PORDENONE PN
G889;PORLEZZA CO
G890;PORNASSIO IM
G891;PORPETTO UD
A558;PORRETTA TERME BO
G894;PORTACOMARO AT
G895;PORTALBERA PV
G900;PORTE TO
G902;PORTICI NA
G903;PORTICO DI CASERTA CE
G904;PORTICO E SAN BENEDETTO FC
G905;PORTIGLIOLA RC
E680;PORTO AZZURRO LI
G906;PORTO CERESIO VA
M263;PORTO CESAREO LE
F299;PORTO EMPEDOCLE AG
G917;PORTO MANTOVANO MN
G919;PORTO RECANATI MC
G920;PORTO SAN GIORGIO AP
G921;PORTO SANT'ELPIDIO AP
G923;PORTO TOLLE RO
G924;PORTO TORRES SS
G907;PORTO VALTRAVAGLIA VA
G926;PORTO VIRO RO
G909;PORTOBUFFOLE' TV
G910;PORTOCANNONE CB
G912;PORTOFERRAIO LI
G989;PRASO TN
G993;PRATA CAMPORTACCIO SO
G992;PRATA D'ANSIDONIA AQ
G994;PRATA DI PORDENONE PN
G990;PRATA DI PRINCIPATO ULTRA AV
G991;PRATA SANNITA CE
G995;PRATELLA CE
G997;PRATIGLIONE TO
G999;PRATO PO
H004;PRATO ALLO STELVIO .PRAD AM STILFSERJOCH. BZ
H002;PRATO CARNICO UD
H001;PRATO SESIA NO
H007;PRATOLA PELIGNA AQ
H006;PRATOLA SERRA AV
H008;PRATOVECCHIO AR
H010;PRAVISDOMINI PN
G939;POSTIGLIONE SA
G940;POSTUA VC
G942;POTENZA PZ
F632;POTENZA PICENA MC
G943;POVE DEL GRAPPA VI
G944;POVEGLIANO TV
G945;POVEGLIANO VERONESE VR
G947;POVIGLIO RE
G949;POVOLETTO UD
G950;POZZA DI FASSA TN
G951;POZZAGLIA SABINA RI
B914;POZZAGLIO ED UNITI CR
G953;POZZALLO RG
G954;POZZILLI IS
G955;POZZO D'ADDA MI
G960;POZZOL GROPPO AL
G959;POZZOLENGO BS
G957;POZZOLEONE VI
G961;POZZOLO FORMIGARO AL
G962;POZZOMAGGIORE SS
G963;POZZONOVO PD
G964;POZZUOLI NA
G966;POZZUOLO DEL FRIULI UD
G965;POZZUOLO MARTESANA MI
G968;PRADALUNGA BG
G969;PRADAMANO UD
G970;PRADLEVES CN
G973;PRAGELATO TO
G975;PRAIA A MARE CS
G976;PRAIANO SA
G977;PRALBOINO BS
G978;PRALI TO
G979;PRALORMO TO
G980;PRALUNGO BI
G981;PRAMAGGIORE VE
G982;PRAMOLLO TO
G985;PRAROLO VC
G986;PRAROSTINO TO
G987;PRASCO AL
G988;PRASCORSANO TO
G698;PRIVERNO LT
H070;PRIZZI PA
H071;PROCENO VT
H072;PROCIDA NA
H073;PROPATA GE
H074;PROSERPIO CO
H076;PROSSEDI LT
H078;PROVAGLIO D'ISEO BS
H077;PROVAGLIO VAL SABBIA BS
H081;PROVES .PROVEIS. BZ
H083;PROVVIDENTI CB
H085;PRUNETTO CN
H086;PUEGNAGO SUL GARDA BS
H087;PUGLIANELLO BN
H088;PULA CA
H089;PULFERO UD
G974;PRAY BI
H011;PRAZZO CN
H014;PRECENICCO UD
H015;PRECI PG
H017;PREDAPPIO FC
H018;PREDAZZO TN
H019;PREDOI .PRETTAU. BZ
H020;PREDORE BG
H021;PREDOSA AL
H022;PREGANZIOL TV
H026;PREGNANA MILANESE MI
H027;PRELA' IM
H028;PREMANA LC
H029;PREMARIACCO UD
H030;PREMENO VB
H033;PREMIA VB
H034;PREMILCUORE FC
H036;PREMOLO BG
H037;PREMOSELLO-CHIOVENDA VB
H038;PREONE UD
H039;PREORE TN
H040;PREPOTTO UD
H042;PRE'-SAINT-DIDIER AO
H043;PRESEGLIE BS
H045;PRESENZANO CE
H046;PRESEZZO BG
H047;PRESICCE LE
H048;PRESSANA VR
H050;PRESTINE BS
H052;PRETORO CH
H055;PREVALLE BS
H056;PREZZA AQ
H057;PREZZO TN
H059;PRIERO CN
H062;PRIGNANO CILENTO SA
H061;PRIGNANO SULLA SECCHIA MO
H063;PRIMALUNA LC
H068;PRIOCCA CN
H069;PRIOLA CN
M279;PRIOLO GARGALLO SR
H090;PULSANO TA
H091;PUMENENGO BG
H092;PUOS D'ALPAGO BL
H094;PUSIANO CO
H095;PUTIFIGARI SS
H096;PUTIGNANO BA
