E784;MACERATA CAMPANIA CE
E851;MALEGNO BS
E852;MALEO LO
E853;MALESCO VB
E922;MARCARIA MN
E923;MARCEDUSA CZ
E924;MARCELLINA RM
E925;MARCELLINARA CZ
E927;MARCETELLI RI
E928;MARCHENO BS
E929;MARCHIROLO VA
E930;MARCIANA LI
E931;MARCIANA MARINA LI
E932;MARCIANISE CE
E933;MARCIANO DELLA CHIANA AR
E868;MALTIGNANO AP
E869;MALVAGNA ME
E870;MALVICINO AL
E872;MALVITO CS
E873;MAMMOLA RC
E874;MAMOIADA NU
E875;MANCIANO GR
E876;MANDANICI ME
E877;MANDAS CA
E878;MANDATORICCIO CS
B632;MANDELA RM
E879;MANDELLO DEL LARIO LC
E880;MANDELLO VITTA NO
E882;MANDURIA TA
E883;MANERBA DEL GARDA BS
E884;MANERBIO BS
E885;MANFREDONIA FG
E887;MANGO CN
E888;MANGONE CS
M283;MANIACE CT
E889;MANIAGO PN
E891;MANOCALZATI AV
E892;MANOPPELLO PE
E893;MANSUE' TV
E894;MANTA CN
E896;MANTELLO SO
E897;MANTOVA MN
E899;MANZANO UD
E900;MANZIANA RM
E901;MAPELLO BG
E902;MARA SS
E903;MARACALAGONIS CA
E904;MARANELLO MO
E906;MARANO DI NAPOLI NA
E911;MARANO DI VALPOLICELLA VR
E908;MARANO EQUO RM
E910;MARANO LAGUNARE UD
E914;MARANO MARCHESATO CS
E915;MARANO PRINCIPATO CS
E905;MARANO SUL PANARO MO
E907;MARANO TICINO NO
E912;MARANO VICENTINO VI
E917;MARANZANA AT
E919;MARATEA PZ
E921;MARCALLO CON CASONE MI
E989;MARTINSICURO TE
E990;MARTIRANO CZ
E991;MARTIRANO LOMBARDO CZ
E992;MARTIS SS
E993;MARTONE RC
E994;MARUDO LO
E995;MARUGGIO TA
B689;MARZABOTTO BO
E999;MARZANO PV
E998;MARZANO APPIO CE
E997;MARZANO DI NOLA AV
E934;MARCIGNAGO PV
E936;MARCON VE
E938;MAREBBE .ENNEBERG. BZ
E939;MARENE CN
E940;MARENO DI PIAVE TV
E941;MARENTINO TO
E944;MARETTO AT
E945;MARGARITA CN
E946;MARGHERITA DI SAVOIA FG
E947;MARGNO LC
E949;MARIANA MANTOVANA MN
E951;MARIANO COMENSE CO
E952;MARIANO DEL FRIULI GO
E953;MARIANOPOLI CL
E954;MARIGLIANELLA NA
E955;MARIGLIANO NA
E956;MARINA DI GIOIOSA IONICA RC
E957;MARINEO PA
E958;MARINO RM
E959;MARLENGO .MARLING. BZ
E960;MARLIANA PT
E961;MARMENTINO BS
E962;MARMIROLO MN
E963;MARMORA CN
E965;MARNATE VA
E967;MARONE BS
E968;MAROPATI RC
E970;MAROSTICA VI
E971;MARRADI FI
E972;MARRUBIU OR
E973;MARSAGLIA CN
E974;MARSALA TP
E975;MARSCIANO PG
E976;MARSICO NUOVO PZ
E977;MARSICOVETERE PZ
E978;MARTA VT
E979;MARTANO LE
E980;MARTELLAGO VE
E981;MARTELLO .MARTELL. BZ
E982;MARTIGNACCO UD
E983;MARTIGNANA DI PO CR
E984;MARTIGNANO LE
E986;MARTINA FRANCA TA
E987;MARTINENGO BG
E988;MARTINIANA PO CN
F055;MATRICE CB
F058;MATTIE TO
F059;MATTINATA FG
F061;MAZARA DEL VALLO TP
F063;MAZZANO BS
F064;MAZZANO ROMANO RM
F065;MAZZARINO CL
F066;MAZZARRA' SANT'ANDREA ME
M271;MAZZARRONE CT
F067;MAZZE' TO
F068;MAZZIN TN
F001;MARZI CS
F002;MARZIO VA
M270;MASAINAS CA
F003;MASATE MI
F004;MASCALI CT
F005;MASCALUCIA CT
F006;MASCHITO PZ
F007;MASCIAGO PRIMO VA
F009;MASER TV
F010;MASERA VB
F011;MASERA' DI PADOVA PD
F012;MASERADA SUL PIAVE TV
F013;MASI PD
F016;MASI TORELLO FE
F015;MASIO AL
F017;MASLIANICO CO
F019;MASON VICENTINO VI
F020;MASONE GE
F023;MASSA MS
F022;MASSA D'ALBE AQ
M289;MASSA DI SOMMA NA
F025;MASSA E COZZILE PT
F021;MASSA FERMANA AP
F026;MASSA FISCAGLIA FE
F029;MASSA LOMBARDA RA
F030;MASSA LUBRENSE NA
F032;MASSA MARITTIMA GR
F024;MASSA MARTANA PG
F027;MASSAFRA TA
F028;MASSALENGO LO
F033;MASSANZAGO PD
F035;MASSAROSA LU
F037;MASSAZZA BI
F041;MASSELLO TO
F042;MASSERANO BI
F044;MASSIGNANO AP
F045;MASSIMENO TN
F046;MASSIMINO SV
F047;MASSINO VISCONTI NO
F048;MASSIOLA VB
F050;MASULLAS OR
F051;MATELICA MC
F052;MATERA MT
F053;MATHI TO
F054;MATINO LE
F126;MENFI AG
F127;MENTANA RM
F130;MEOLO VE
F131;MERANA AL
F132;MERANO .MERAN. BZ
F133;MERATE LC
F134;MERCALLO VA
F135;MERCATELLO SUL METAURO PU
F136;MERCATINO CONCA PU
F138;MERCATO SAN SEVERINO SA
F139;MERCATO SARACENO FC
F070;MAZZO DI VALTELLINA SO
F074;MEANA DI SUSA TO
F073;MEANA SARDO NU
F078;MEDA MI
F080;MEDE PV
F081;MEDEA GO
F082;MEDESANO PR
F083;MEDICINA BO
F084;MEDIGLIA MI
F085;MEDOLAGO BG
F086;MEDOLE MN
F087;MEDOLLA MO
F088;MEDUNA DI LIVENZA TV
F089;MEDUNO PN
F091;MEGLIADINO SAN FIDENZIO PD
F092;MEGLIADINO SAN VITALE PD
F093;MEINA NO
F094;MEL BL
F095;MELARA RO
F096;MELAZZO AL
F097;MELDOLA FC
F098;MELE GE
F100;MELEGNANO MI
F101;MELENDUGNO LE
F102;MELETI LO
F104;MELFI PZ
F105;MELICUCCA' RC
F106;MELICUCCO RC
F107;MELILLI SR
F108;MELISSA KR
F109;MELISSANO LE
F111;MELITO DI NAPOLI NA
F112;MELITO DI PORTO SALVO RC
F110;MELITO IRPINO AV
F113;MELIZZANO BN
F114;MELLE CN
F115;MELLO SO
F117;MELPIGNANO LE
F118;MELTINA .MOLTEN. BZ
F119;MELZO MI
F120;MENAGGIO CO
F121;MENAROLA SO
F122;MENCONICO PV
F123;MENDATICA IM
F125;MENDICINO CS
F200;MIGLIERINA CZ
F201;MIGLIONICO MT
F202;MIGNANEGO GE
F203;MIGNANO MONTE LUNGO CE
F205;MILANO MI
F206;MILAZZO ME
E618;MILENA CL
F207;MILETO VV
F208;MILIS OR
F209;MILITELLO IN VAL DI CATANIA CT
F210;MILITELLO ROSMARINO ME
F140;MERCENASCO TO
F141;MERCOGLIANO AV
F144;MERETO DI TOMBA UD
F145;MERGO AN
F146;MERGOZZO VB
F147;MERI' ME
F148;MERLARA PD
F149;MERLINO LO
F151;MERONE CO
F152;MESAGNE BR
F153;MESE SO
F154;MESENZANA VA
F155;MESERO MI
F156;MESOLA FE
F157;MESORACA KR
F158;MESSINA ME
F161;MESTRINO PD
F162;META NA
F164;MEUGLIANO TO
F165;MEZZAGO MI
F168;MEZZANA TN
F170;MEZZANA BIGLI PV
F167;MEZZANA MORTIGLIENGO BI
F171;MEZZANA RABATTONE PV
F172;MEZZANE DI SOTTO VR
F173;MEZZANEGO GE
F174;MEZZANI PR
F175;MEZZANINO PV
F176;MEZZANO TN
F181;MEZZEGRA CO
F182;MEZZENILE TO
F183;MEZZOCORONA TN
F184;MEZZOJUSO PA
F186;MEZZOLDO BG
F187;MEZZOLOMBARDO TN
F188;MEZZOMERICO NO
F189;MIAGLIANO BI
F190;MIANE TV
F191;MIASINO NO
F192;MIAZZINA VB
F193;MICIGLIANO RI
F194;MIGGIANO LE
F196;MIGLIANICO CH
F198;MIGLIARINO FE
F199;MIGLIARO FE
F270;MOGORELLA OR
F272;MOGORO OR
F274;MOIANO BN
F275;MOIMACCO UD
F277;MOIO ALCANTARA ME
F276;MOIO DE' CALVI BG
F278;MOIO DELLA CIVITELLA SA
F279;MOIOLA CN
F280;MOLA DI BARI BA
F281;MOLARE AL
F283;MOLAZZANA LU
F284;MOLFETTA BA
F213;MILLESIMO SV
F214;MILO CT
F216;MILZANO BS
F217;MINEO CT
F218;MINERBE VR
F219;MINERBIO BO
F221;MINERVINO DI LECCE LE
F220;MINERVINO MURGE BA
F223;MINORI SA
F224;MINTURNO LT
F225;MINUCCIANO LU
F226;MIOGLIA SV
F229;MIRA VE
F230;MIRABELLA ECLANO AV
F231;MIRABELLA IMBACCARI CT
F235;MIRABELLO FE
F232;MIRABELLO MONFERRATO AL
F233;MIRABELLO SANNITICO CB
F238;MIRADOLO TERME PV
F239;MIRANDA IS
F240;MIRANDOLA MO
F241;MIRANO VE
F242;MIRTO ME
F244;MISANO ADRIATICO RN
F243;MISANO DI GERA D'ADDA BG
F246;MISILMERI PA
F247;MISINTO MI
F248;MISSAGLIA LC
F249;MISSANELLO PZ
F250;MISTERBIANCO CT
F251;MISTRETTA ME
F254;MOASCA AT
F256;MOCONESI GE
F257;MODENA MO
F258;MODICA RG
F259;MODIGLIANA FC
F261;MODOLO NU
F262;MODUGNO BA
F263;MOENA TN
F265;MOGGIO LC
F266;MOGGIO UDINESE UD
F267;MOGLIA MN
F268;MOGLIANO MC
F269;MOGLIANO VENETO TV
F342;MONCRIVELLO VC
F343;MONCUCCO TORINESE AT
F346;MONDAINO RN
F347;MONDAVIO PU
F348;MONDOLFO PU
F351;MONDOVI' CN
F352;MONDRAGONE CE
F354;MONEGLIA GE
F355;MONESIGLIO CN
F356;MONFALCONE GO
F358;MONFORTE D'ALBA CN
F359;MONFORTE SAN GIORGIO ME
M255;MOLINA ATERNO AQ
F286;MOLINA DI LEDRO TN
F287;MOLINARA BN
F288;MOLINELLA BO
F290;MOLINI DI TRIORA IM
F293;MOLINO DEI TORTI AL
F294;MOLISE CB
F295;MOLITERNO PZ
F297;MOLLIA VC
F301;MOLOCHIO RC
F304;MOLTENO LC
F305;MOLTRASIO CO
F306;MOLVENA VI
F307;MOLVENO TN
F308;MOMBALDONE AT
F309;MOMBARCARO CN
F310;MOMBAROCCIO PU
F311;MOMBARUZZO AT
F312;MOMBASIGLIO CN
F315;MOMBELLO DI TORINO TO
F313;MOMBELLO MONFERRATO AL
F316;MOMBERCELLI AT
F317;MOMO NO
F318;MOMPANTERO TO
F319;MOMPEO RI
F320;MOMPERONE AL
F322;MONACILIONI CB
F323;MONALE AT
F324;MONASTERACE RC
F325;MONASTERO BORMIDA AT
F327;MONASTERO DI LANZO TO
F326;MONASTERO DI VASCO CN
F329;MONASTEROLO CASOTTO CN
F328;MONASTEROLO DEL CASTELLO BG
F330;MONASTEROLO DI SAVIGLIANO CN
F332;MONASTIER DI TREVISO TV
F333;MONASTIR CA
F335;MONCALIERI TO
F336;MONCALVO AT
D553;MONCENISIO TO
F337;MONCESTINO AL
F338;MONCHIERO CN
F340;MONCHIO DELLE CORTI PR
F341;MONCLASSICO TN
F411;MONTALENGHE TO
F414;MONTALLEGRO AG
F415;MONTALTO DELLE MARCHE AP
F419;MONTALTO DI CASTRO VT
F420;MONTALTO DORA TO
F406;MONTALTO LIGURE IM
F417;MONTALTO PAVESE PV
F416;MONTALTO UFFUGO CS
F422;MONTANARO TO
F423;MONTANASO LOMBARDO LO
F424;MONTANERA CN
F426;MONTANO ANTILIA SA
F360;MONFUMO TV
F361;MONGARDINO AT
F363;MONGHIDORO BO
F364;MONGIANA VV
F365;MONGIARDINO LIGURE AL
F368;MONGIUFFI MELIA ME
F369;MONGRANDO BI
F370;MONGRASSANO CS
F371;MONGUELFO .WELSBERG. BZ
F372;MONGUZZO CO
F373;MONIGA DEL GARDA BS
F374;MONLEALE AL
F375;MONNO BS
F376;MONOPOLI BA
F377;MONREALE PA
F378;MONRUPINO TS
F379;MONSAMPIETRO MORICO AP
F380;MONSAMPOLO DEL TRONTO AP
F381;MONSANO AN
F382;MONSELICE PD
F383;MONSERRATO CA
F384;MONSUMMANO TERME PT
F385;MONTA' CN
F386;MONTABONE AT
F387;MONTACUTO AL
F390;MONTAFIA AT
F391;MONTAGANO CB
F392;MONTAGNA .MONTAN. BZ
F393;MONTAGNA IN VALTELLINA SO
F394;MONTAGNANA PD
F395;MONTAGNAREALE ME
F396;MONTAGNE TN
F397;MONTAGUTO AV
F398;MONTAIONE FI
F400;MONTALBANO ELICONA ME
F399;MONTALBANO JONICO MT
F402;MONTALCINO SI
F403;MONTALDEO AL
F404;MONTALDO BORMIDA AL
F405;MONTALDO DI MONDOVI' CN
F408;MONTALDO ROERO CN
F409;MONTALDO SCARAMPI AT
F407;MONTALDO TORINESE TO
F410;MONTALE PT
F445;MONTEBRUNO GE
F446;MONTEBUONO RI
F450;MONTECALVO IN FOGLIA PU
F448;MONTECALVO IRPINO AV
F449;MONTECALVO VERSIGGIA PV
F452;MONTECARLO LU
F453;MONTECAROTTO AN
F454;MONTECASSIANO MC
F455;MONTECASTELLO AL
F457;MONTECASTRILLI TR
A561;MONTECATINI TERME PT
F458;MONTECATINI VAL DI CECINA PI
F427;MONTANO LUCINO CO
F428;MONTAPPONE AP
F429;MONTAQUILA IS
F430;MONTASOLA RI
F432;MONTAURO CZ
F433;MONTAZZOLI CH
F437;MONTE ARGENTARIO GR
F456;MONTE CASTELLO DI VIBIO PG
F460;MONTE CAVALLO MC
F467;MONTE CERIGNONE PU
F476;MONTE COLOMBO RN
F434;MONTE CREMASCO CR
F486;MONTE DI MALO VI
F488;MONTE DI PROCIDA NA
F517;MONTE GIBERTO AP
F524;MONTE GRIMANO TERME PU
F532;MONTE ISOLA BS
F561;MONTE MARENZO LC
F589;MONTE PORZIO PU
F590;MONTE PORZIO CATONE RM
F599;MONTE RINALDO AP
F600;MONTE ROBERTO AN
F603;MONTE ROMANO VT
F616;MONTE SAN BIAGIO LT
F618;MONTE SAN GIACOMO SA
F620;MONTE SAN GIOVANNI CAMPANO FR
F619;MONTE SAN GIOVANNI IN SABINA RI
F621;MONTE SAN GIUSTO MC
F622;MONTE SAN MARTINO MC
F626;MONTE SAN PIETRANGELI AP
F627;MONTE SAN PIETRO BO
F628;MONTE SAN SAVINO AR
F634;MONTE SAN VITO AN
F629;MONTE SANTA MARIA TIBERINA PG
F631;MONTE SANT'ANGELO FG
F653;MONTE URANO AP
F664;MONTE VIDON COMBATTE AP
F665;MONTE VIDON CORRADO AP
F440;MONTEBELLO DELLA BATTAGLIA PV
F441;MONTEBELLO DI BERTONA PE
D746;MONTEBELLO IONICO RC
B268;MONTEBELLO SUL SANGRO CH
F442;MONTEBELLO VICENTINO VI
F443;MONTEBELLUNA TV
F516;MONTEGALLO AP
F518;MONTEGIOCO AL
F519;MONTEGIORDANO CS
F520;MONTEGIORGIO AP
F522;MONTEGRANARO AP
F523;MONTEGRIDOLFO RN
F526;MONTEGRINO VALTRAVAGLIA VA
F527;MONTEGROSSO D'ASTI AT
F528;MONTEGROSSO PIAN LATTE IM
F529;MONTEGROTTO TERME PD
F531;MONTEIASI TA
F533;MONTELABBATE PU
F461;MONTECCHIA DI CROSARA VR
F462;MONTECCHIO TR
F463;MONTECCHIO EMILIA RE
F464;MONTECCHIO MAGGIORE VI
F465;MONTECCHIO PRECALCINO VI
F469;MONTECHIARO D'ACQUI AL
F468;MONTECHIARO D'ASTI AT
F473;MONTECHIARUGOLO PR
F474;MONTECICCARDO PU
F475;MONTECILFONE CB
F477;MONTECOMPATRI RM
F478;MONTECOPIOLO PU
F479;MONTECORICE SA
F480;MONTECORVINO PUGLIANO SA
F481;MONTECORVINO ROVELLA SA
F482;MONTECOSARO MC
F483;MONTECRESTESE VB
F484;MONTECRETO MO
F487;MONTEDINOVE AP
F489;MONTEDORO CL
F491;MONTEFALCIONE AV
F492;MONTEFALCO PG
F493;MONTEFALCONE APPENNINO AP
F494;MONTEFALCONE DI VAL FORTORE BN
F495;MONTEFALCONE NEL SANNIO CB
F496;MONTEFANO MC
F497;MONTEFELCINO PU
F498;MONTEFERRANTE CH
F499;MONTEFIASCONE VT
F500;MONTEFINO TE
F502;MONTEFIORE CONCA RN
F501;MONTEFIORE DELL'ASO AP
F503;MONTEFIORINO MO
F504;MONTEFLAVIO RM
F507;MONTEFORTE CILENTO SA
F508;MONTEFORTE D'ALPONE VR
F506;MONTEFORTE IRPINO AV
F509;MONTEFORTINO AP
F510;MONTEFRANCO TR
F511;MONTEFREDANE AV
F512;MONTEFUSCO AV
F513;MONTEGABBIONE TR
F514;MONTEGALDA VI
F515;MONTEGALDELLA VI
F594;MONTERCHI AR
F595;MONTEREALE AQ
F596;MONTEREALE VALCELLINA PN
F597;MONTERENZIO BO
F598;MONTERIGGIONI SI
F601;MONTERODUNI IS
F605;MONTERONI D'ARBIA SI
F604;MONTERONI DI LECCE LE
F606;MONTEROSI VT
F609;MONTEROSSO AL MARE SP
F610;MONTEROSSO ALMO RG
F607;MONTEROSSO CALABRO VV
F534;MONTELANICO RM
F535;MONTELAPIANO CH
F536;MONTELEONE DI FERMO AP
F538;MONTELEONE DI PUGLIA FG
F540;MONTELEONE DI SPOLETO PG
F543;MONTELEONE D'ORVIETO TR
F542;MONTELEONE ROCCA DORIA SS
F541;MONTELEONE SABINO RI
F544;MONTELEPRE PA
F545;MONTELIBRETTI RM
F546;MONTELLA AV
F547;MONTELLO BG
F548;MONTELONGO CB
F549;MONTELPARO AP
F550;MONTELUPO ALBESE CN
F551;MONTELUPO FIORENTINO FI
F552;MONTELUPONE MC
F555;MONTEMAGGIORE AL METAURO PU
F553;MONTEMAGGIORE BELSITO PA
F556;MONTEMAGNO AT
F558;MONTEMALE DI CUNEO CN
F559;MONTEMARANO AV
F560;MONTEMARCIANO AN
F562;MONTEMARZINO AL
F563;MONTEMESOLA TA
F564;MONTEMEZZO CO
F565;MONTEMIGNAIO AR
F566;MONTEMILETTO AV
F568;MONTEMILONE PZ
F569;MONTEMITRO CB
F570;MONTEMONACO AP
F572;MONTEMURLO PO
F573;MONTEMURRO PZ
F574;MONTENARS UD
F576;MONTENERO DI BISACCIA CB
F579;MONTENERO SABINO RI
F580;MONTENERO VAL COCCHIARA IS
F578;MONTENERODOMO CH
F582;MONTEODORISIO CH
F586;MONTEPAONE CZ
F587;MONTEPARANO TA
F591;MONTEPRANDONE AP
F592;MONTEPULCIANO SI
F593;MONTERADO AN
F685;MONTONE PG
F687;MONTOPOLI DI SABINA RI
F686;MONTOPOLI IN VAL D'ARNO PI
F688;MONTORFANO CO
F690;MONTORIO AL VOMANO TE
F689;MONTORIO NEI FRENTANI CB
F692;MONTORIO ROMANO RM
F693;MONTORO INFERIORE AV
F694;MONTORO SUPERIORE AV
F696;MONTORSO VICENTINO VI
F697;MONTOTTONE AP
F698;MONTRESTA NU
F701;MONTU' BECCARIA PV
F608;MONTEROSSO GRANA CN
F611;MONTEROTONDO RM
F612;MONTEROTONDO MARITTIMO GR
F614;MONTERUBBIANO AP
F623;MONTESANO SALENTINO LE
F625;MONTESANO SULLA MARCELLANA SA
F636;MONTESARCHIO BN
F637;MONTESCAGLIOSO MT
F638;MONTESCANO PV
F639;MONTESCHENO VB
F640;MONTESCUDAIO PI
F641;MONTESCUDO RN
F642;MONTESE MO
F644;MONTESEGALE PV
F646;MONTESILVANO PE
F648;MONTESPERTOLI FI
F651;MONTEU DA PO TO
F654;MONTEU ROERO CN
F655;MONTEVAGO AG
F656;MONTEVARCHI AR
F657;MONTEVECCHIA LC
F659;MONTEVEGLIO BO
F660;MONTEVERDE AV
F661;MONTEVERDI MARITTIMO PI
F662;MONTEVIALE VI
F666;MONTEZEMOLO CN
F667;MONTI SS
F668;MONTIANO FC
F672;MONTICELLI BRUSATI BS
F671;MONTICELLI D'ONGINA PC
F670;MONTICELLI PAVESE PV
F674;MONTICELLO BRIANZA LC
F675;MONTICELLO CONTE OTTO VI
F669;MONTICELLO D'ALBA CN
F471;MONTICHIARI BS
F676;MONTICIANO SI
F677;MONTIERI GR
M302;MONTIGLIO MONFERRATO AT
F679;MONTIGNOSO MS
F680;MONTIRONE BS
F367;MONTJOVET AO
F681;MONTODINE CR
F682;MONTOGGIO GE
F749;MORROVALLE MC
F750;MORSANO AL TAGLIAMENTO PN
F751;MORSASCO AL
F754;MORTARA PV
F756;MORTEGLIANO UD
F758;MORTERONE LC
F760;MORUZZO UD
F761;MOSCAZZANO CR
F762;MOSCHIANO AV
F764;MOSCIANO SANT'ANGELO TE
F765;MOSCUFO PE
F766;MOSO IN PASSIRIA .MOOS IN PASSEIER. BZ
F767;MOSSA GO
F703;MONVALLE VA
F704;MONZA MI
F705;MONZAMBANO MN
F706;MONZUNO BO
F708;MORANO CALABRO CS
F707;MORANO SUL PO AL
F709;MORANSENGO AT
F710;MORARO GO
F711;MORAZZONE VA
F712;MORBEGNO SO
F713;MORBELLO AL
F716;MORCIANO DI LEUCA LE
F715;MORCIANO DI ROMAGNA RN
F717;MORCONE BN
F718;MORDANO BO
F720;MORENGO BG
F721;MORES SS
F722;MORESCO AP
F723;MORETTA CN
F724;MORFASSO PC
F725;MORGANO TV
F726;MORGEX AO
F727;MORGONGIORI OR
F728;MORI TN
F729;MORIAGO DELLA BATTAGLIA TV
F730;MORICONE RM
F731;MORIGERATI SA
D033;MORIMONDO MI
F732;MORINO AQ
F733;MORIONDO TORINESE TO
F734;MORLUPO RM
F735;MORMANNO CS
F736;MORNAGO VA
F737;MORNESE AL
F738;MORNICO AL SERIO BG
F739;MORNICO LOSANA PV
F740;MOROLO FR
F743;MOROZZO CN
F744;MORRA DE SANCTIS AV
F745;MORRO D'ALBA AN
F747;MORRO D'ORO TE
F746;MORRO REATINO RI
F748;MORRONE DEL SANNIO CB
F830;MUSSOMELI CL
F832;MUZZANA DEL TURGNANO UD
F833;MUZZANO BI
F768;MOSSANO VI
M304;MOSSO BI
F771;MOTTA BALUFFI CR
F772;MOTTA CAMASTRA ME
F773;MOTTA D'AFFERMO ME
F774;MOTTA DE' CONTI VC
F770;MOTTA DI LIVENZA TV
F777;MOTTA MONTECORVINO FG
F779;MOTTA SAN GIOVANNI RC
F780;MOTTA SANTA LUCIA CZ
F781;MOTTA SANT'ANASTASIA CT
F783;MOTTA VISCONTI MI
F775;MOTTAFOLLONE CS
F776;MOTTALCIATA BI
B012;MOTTEGGIANA MN
F784;MOTTOLA TA
F785;MOZZAGROGNA CH
F786;MOZZANICA BG
F788;MOZZATE CO
F789;MOZZECANE VR
F791;MOZZO BG
F793;MUCCIA MC
F795;MUGGIA TS
F797;MUGGIO' MI
F798;MUGNANO DEL CARDINALE AV
F799;MUGNANO DI NAPOLI NA
F801;MULAZZANO LO
F802;MULAZZO MS
F806;MURA BS
F808;MURAVERA CA
F809;MURAZZANO CN
F811;MURELLO CN
F813;MURIALDO SV
F814;MURISENGO AL
F815;MURLO SI
F816;MURO LECCESE LE
F817;MURO LUCANO PZ
F818;MUROS SS
F820;MUSCOLINE BS
F822;MUSEI CA
F826;MUSILE DI PIAVE VE
F828;MUSSO CO
F829;MUSSOLENTE VI
