H150;RACCONIGI CN
H607;ROVERE' DELLA LUNA TN
H608;ROVERE' VERONESE VR
H610;ROVEREDO DI GUA' VR
H609;ROVEREDO IN PIANO PN
H612;ROVERETO TN
H614;ROVESCALA PV
H615;ROVETTA BG
H618;ROVIANO RM
H620;ROVIGO RO
H621;ROVITO CS
H622;ROVOLON PD
H623;ROZZANO MI
H625;RUBANO PD
H627;RUBIANA TO
H628;RUBIERA RE
H629;RUDA UD
H630;RUDIANO BS
H631;RUEGLIO TO
H632;RUFFANO LE
H633;RUFFIA CN
H634;RUFFRE' TN
H635;RUFINA FI
F271;RUINAS OR
H637;RUINO PV
H639;RUMO TN
H641;RUOTI PZ
H642;RUSSI RA
