L027;TAGLIOLO MONFERRATO AL
L295;TORRICELLA SICURA TE
L366;TREIA MC
L367;TREISO CN
L368;TREMENICO LC
L369;TREMESTIERI ETNEO CT
L371;TREMEZZO CO
L372;TREMOSINE BS
L375;TRENTA CS
L377;TRENTINARA SA
L378;TRENTO TN
L379;TRENTOLA DUCENTA CE
L380;TRENZANO BS
L381;TREPPO CARNICO UD
L382;TREPPO GRANDE UD
L383;TREPUZZI LE
L384;TREQUANDA SI
L385;TRES TN
L386;TRESANA MS
L388;TRESCORE BALNEARIO BG
L389;TRESCORE CREMASCO CR
L390;TRESIGALLO FE
L392;TRESIVIO SO
L323;TRAMONTI SA
L324;TRAMONTI DI SOPRA PN
L325;TRAMONTI DI SOTTO PN
L326;TRAMUTOLA PZ
L327;TRANA TO
L328;TRANI BA
L329;TRANSACQUA TN
L330;TRAONA SO
L331;TRAPANI TP
L332;TRAPPETO PA
L333;TRAREGO VIGGIONA VB
L334;TRASACCO AQ
L335;TRASAGHIS UD
L336;TRASQUERA VB
L337;TRATALIAS CA
L338;TRAUSELLA TO
I236;TRAVACO' SICCOMARIO PV
L339;TRAVAGLIATO BS
L342;TRAVEDONA-MONATE VA
L345;TRAVERSELLA TO
L346;TRAVERSETOLO PR
L340;TRAVES TO
L347;TRAVESIO PN
L348;TRAVO PC
L349;TREBASELEGHE PD
L353;TREBISACCE CS
L354;TRECASALI PR
M280;TRECASE NA
L355;TRECASTAGNI CT
L356;TRECATE NO
L357;TRECCHINA PZ
L359;TRECENTA RO
L361;TREDOZIO FC
L363;TREGLIO CH
L364;TREGNAGO VR
L432;TRISOBBIO AL
L433;TRISSINO VI
L434;TRIUGGIO MI
L435;TRIVENTO CB
L436;TRIVERO BI
L437;TRIVIGLIANO FR
L438;TRIVIGNANO UDINESE UD
L439;TRIVIGNO PZ
L440;TRIVOLZIO PV
L444;TRODENA .TRUDEN. BZ
L445;TROFARELLO TO
L447;TROIA FG
L448;TROINA EN
L449;TROMELLO PV
L450;TRONTANO VB
A705;TRONZANO LAGO MAGGIORE VA
L451;TRONZANO VERCELLESE VC
L452;TROPEA VV
L453;TROVO PV
L454;TRUCCAZZANO MI
L455;TUBRE .TAUFERS IN MUNSTERTHAL. BZ
L393;TRESNURAGHES OR
L396;TREVENZUOLO VR
L397;TREVI PG
L398;TREVI NEL LAZIO FR
L399;TREVICO AV
L400;TREVIGLIO BG
L402;TREVIGNANO TV
L401;TREVIGNANO ROMANO RM
L403;TREVILLE AL
L404;TREVIOLO BG
L407;TREVISO TV
L406;TREVISO BRESCIANO BS
L408;TREZZANO ROSA MI
L409;TREZZANO SUL NAVIGLIO MI
L411;TREZZO SULL'ADDA MI
L410;TREZZO TINELLA CN
L413;TREZZONE CO
L414;TRIBANO PD
L415;TRIBIANO MI
L416;TRIBOGNA GE
L418;TRICARICO MT
L419;TRICASE LE
L420;TRICERRO VC
L421;TRICESIMO UD
L422;TRICHIANA BL
L423;TRIEI NU
L424;TRIESTE TS
L425;TRIGGIANO BA
L426;TRIGOLO CR
L427;TRINITA' CN
L428;TRINITA' D'AGULTU E VIGNOLA SS
B915;TRINITAPOLI FG
L429;TRINO VERCELLESE VC
L430;TRIORA IM
L431;TRIPI ME
L457;TUENNO TN
L458;TUFARA CB
L459;TUFILLO CH
L460;TUFINO NA
L461;TUFO AV
L462;TUGLIE LE
L463;TUILI CA
L464;TULA SS
L466;TUORO SUL TRASIMENO PG
G507;TURANIA RI
L469;TURANO LODIGIANO LO
L470;TURATE CO
L471;TURBIGO MI
L472;TURI BA
L473;TURRI CA
L474;TURRIACO GO
L475;TURRIVALIGNANI PE
L477;TURSI MT
L478;TUSA ME
L310;TUSCANIA VT
