D871;GALLIATE LOMBARDO VA
E006;GHISALBA BG
E007;GHISLARENGO VC
E008;GIACCIANO CON BARUCHELLA RO
E071;GODEGA DI SANT'URBANO TV
E072;GODIASCO PV
E074;GODRANO PA
E078;GOITO MN
E079;GOLASECCA VA
E081;GOLFERENZO PV
M274;GOLFO ARANCI SS
E082;GOMBITO CR
E083;GONARS UD
E019;GIAVE SS
E020;GIAVENO TO
E021;GIAVERA DEL MONTELLO TV
E022;GIBA CA
E023;GIBELLINA TP
E024;GIFFLENGA BI
E025;GIFFONE RC
E026;GIFFONI SEI CASALI SA
E027;GIFFONI VALLE PIANA SA
E028;GIGNESE VB
E029;GIGNOD AO
E030;GILDONE CB
E031;GIMIGLIANO CZ
E033;GINESTRA PZ
E034;GINESTRA DEGLI SCHIAVONI BN
E036;GINOSA TA
E037;GIOI SA
E040;GIOIA DEI MARSI AQ
E038;GIOIA DEL COLLE BA
E039;GIOIA SANNITICA CE
E041;GIOIA TAURO RC
E044;GIOIOSA IONICA RC
E043;GIOIOSA MAREA ME
E045;GIOVE TR
E047;GIOVINAZZO BA
E048;GIOVO TN
E049;GIRASOLE NU
E050;GIRIFALCO CZ
E051;GIRONICO CO
E052;GISSI CH
E053;GIUGGIANELLO LE
E054;GIUGLIANO IN CAMPANIA NA
E055;GIULIANA PA
E057;GIULIANO DI ROMA FR
E056;GIULIANO TEATINO CH
E058;GIULIANOVA TE
E059;GIUNCUGNANO LU
E060;GIUNGANO SA
E061;GIURDIGNANO LE
E062;GIUSSAGO PV
E063;GIUSSANO MI
E064;GIUSTENICE SV
E065;GIUSTINO TN
E066;GIUSVALLA SV
E067;GIVOLETTO TO
E068;GIZZERIA CZ
E069;GLORENZA .GLURNS. BZ
E144;GRANTOLA VA
E145;GRANTORTO PD
E146;GRANZE PD
E147;GRASSANO MT
E148;GRASSOBBIO BG
E149;GRATTERI PA
E150;GRAUNO TN
E151;GRAVEDONA CO
E152;GRAVELLONA LOMELLINA PV
E084;GONI CA
E086;GONNESA CA
E087;GONNOSCODINA OR
E085;GONNOSFANADIGA CA
D585;GONNOSNO' OR
E088;GONNOSTRAMATZA OR
E089;GONZAGA MN
E090;GORDONA SO
E091;GORGA RM
E092;GORGO AL MONTICANO TV
E093;GORGOGLIONE MT
E094;GORGONZOLA MI
E096;GORIANO SICOLI AQ
E098;GORIZIA GO
E101;GORLA MAGGIORE VA
E102;GORLA MINORE VA
E100;GORLAGO BG
E103;GORLE BG
E104;GORNATE-OLONA VA
E106;GORNO BG
E107;GORO FE
E109;GORRETO GE
E111;GORZEGNO CN
E113;GOSALDO BL
E114;GOSSOLENGO PC
E115;GOTTASECCA CN
E116;GOTTOLENGO BS
E118;GOVONE CN
E120;GOZZANO NO
E122;GRADARA PU
E124;GRADISCA D'ISONZO GO
E125;GRADO GO
E126;GRADOLI VT
E127;GRAFFIGNANA LO
E128;GRAFFIGNANO VT
E130;GRAGLIA BI
E131;GRAGNANO NA
E132;GRAGNANO TREBBIENSE PC
E133;GRAMMICHELE CT
E134;GRANA AT
E135;GRANAGLIONE BO
E136;GRANAROLO DELL'EMILIA BO
E138;GRANCONA VI
E139;GRANDATE CO
E141;GRANDOLA ED UNITI CO
E142;GRANITI ME
E143;GRANOZZO CON MONTICELLO NO
E214;GROTTOLELLA AV
E215;GRUARO VE
E216;GRUGLIASCO TO
E217;GRUMELLO CREMONESE ED UNITI CR
E219;GRUMELLO DEL MONTE BG
E221;GRUMENTO NOVA PZ
E222;GRUMES TN
E223;GRUMO APPULA BA
E224;GRUMO NEVANO NA
E153;GRAVELLONA TOCE VB
E154;GRAVERE TO
E156;GRAVINA DI CATANIA CT
E155;GRAVINA IN PUGLIA BA
E158;GRAZZANISE CE
E159;GRAZZANO BADOGLIO AT
E160;GRECCIO RI
E161;GRECI AV
E163;GREGGIO VC
E164;GREMIASCO AL
E165;GRESSAN AO
E167;GRESSONEY-LA-TRINITE' AO
E168;GRESSONEY-SAINT-JEAN AO
E169;GREVE IN CHIANTI FI
E170;GREZZAGO MI
E171;GREZZANA VR
E172;GRIANTE CO
E173;GRICIGNANO DI AVERSA CE
E177;GRIGNASCO NO
E178;GRIGNO TN
E179;GRIMACCO UD
E180;GRIMALDI CS
E182;GRINZANE CAVOUR CN
E184;GRISIGNANO DI ZOCCO VI
E185;GRISOLIA CS
E187;GRIZZANA MORANDI BO
E188;GROGNARDO AL
E189;GROMO BG
E191;GRONDONA AL
E192;GRONE BG
E193;GRONTARDO CR
E195;GROPELLO CAIROLI PV
E196;GROPPARELLO PC
E199;GROSCAVALLO TO
E200;GROSIO SO
E201;GROSOTTO SO
E202;GROSSETO GR
E203;GROSSO TO
E204;GROTTAFERRATA RM
E205;GROTTAGLIE TA
E206;GROTTAMINARDA AV
E207;GROTTAMMARE AP
E208;GROTTAZZOLINA AP
E209;GROTTE AG
E210;GROTTE DI CASTRO VT
E212;GROTTERIA RC
E213;GROTTOLE MT
E226;GRUMOLO DELLE ABBADESSE VI
E227;GUAGNANO LE
E228;GUALDO MC
E229;GUALDO CATTANEO PG
E230;GUALDO TADINO PG
E232;GUALTIERI RE
E233;GUALTIERI SICAMINO' ME
E234;GUAMAGGIORE CA
E235;GUANZATE CO
E236;GUARCINO FR
E240;GUARDA VENETA RO
E237;GUARDABOSONE VC
E238;GUARDAMIGLIO LO
E239;GUARDAVALLE CZ
E241;GUARDEA TR
E245;GUARDIA LOMBARDI AV
E246;GUARDIA PERTICARA PZ
E242;GUARDIA PIEMONTESE CS
E249;GUARDIA SANFRAMONDI BN
E243;GUARDIAGRELE CH
E244;GUARDIALFIERA CB
E248;GUARDIAREGIA CB
E250;GUARDISTALLO PI
E251;GUARENE CN
E252;GUASILA CA
E253;GUASTALLA RE
E255;GUAZZORA AL
E256;GUBBIO PG
E258;GUDO VISCONTI MI
E259;GUGLIONESI CB
E261;GUIDIZZOLO MN
E263;GUIDONIA MONTECELIO RM
E264;GUIGLIA MO
E266;GUILMI CH
E269;GURRO VB
E270;GUSPINI CA
E271;GUSSAGO BS
E272;GUSSOLA CR
